lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null						supported	throws	float_t	float.zero	true	cast_float.mixed.null	runtime_throw	invalid_mixed_kind_for_cast_float	Mixed null runtime kind is not convertible to float_t.
mixed.bool.false						supported	deterministic_value	float_t	float.zero	true	cast_float.mixed.bool.false	runtime_success		Mixed bool false delegates to native bool->float cast.
mixed.bool.true						supported	deterministic_value	float_t	float.one	true	cast_float.mixed.bool.true	runtime_success		Mixed bool true delegates to native bool->float cast.
mixed.int.zero						supported	deterministic_value	float_t	float.zero	true	cast_float.mixed.int.zero	runtime_success		Mixed int zero widens to float zero.
mixed.int.nonzero						supported	deterministic_value	float_t	float.seven	true	cast_float.mixed.int.nonzero	runtime_success		Mixed int non-zero widens to matching float magnitude.
mixed.float.zero						supported	deterministic_value	float_t	float.zero	true	cast_float.mixed.float.zero	runtime_success		Mixed float zero preserves the float payload.
mixed.float.nonzero						supported	deterministic_value	float_t	float.nonzero	true	cast_float.mixed.float.nonzero	runtime_success		Mixed float non-zero preserves the float payload.
mixed.string.empty						supported	throws	float_t	float.zero	true	cast_float.mixed.string.empty	runtime_throw	invalid_cast_float_literal	Mixed empty string delegates to strict string->float cast and throws.
mixed.string.zero_string						supported	deterministic_value	float_t	float.zero	true	cast_float.mixed.string.zero_string	runtime_success		Mixed string 0 delegates to strict string->float cast.
mixed.string.bool_false_literal						supported	throws	float_t	float.zero	true	cast_float.mixed.string.bool_false_literal	runtime_throw	invalid_cast_float_literal	Mixed false string literal delegates to strict string->float cast and throws.
mixed.string.bool_true_literal						supported	throws	float_t	float.zero	true	cast_float.mixed.string.bool_true_literal	runtime_throw	invalid_cast_float_literal	Mixed true string literal delegates to strict string->float cast and throws.
mixed.string.nonempty_nonzero_nonbool_literal						supported	throws	float_t	float.zero	true	cast_float.mixed.string.other	runtime_throw	invalid_cast_float_literal	Mixed non-numeric string delegates to strict string->float cast and throws.
mixed.hash.empty						supported	throws	float_t	float.zero	true	cast_float.mixed.hash.empty	runtime_throw	invalid_mixed_kind_for_cast_float	Mixed hash runtime kind is not convertible to float_t.
mixed.hash.nonempty						supported	throws	float_t	float.zero	true	cast_float.mixed.hash.nonempty	runtime_throw	invalid_mixed_kind_for_cast_float	Mixed hash runtime kind is not convertible to float_t.
