lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null						supported	deterministic_value	string_t	string.empty	true	cast_string.mixed.null	runtime_success		Mixed null delegates to the configured null-like stringification rule.
mixed.bool.false						supported	deterministic_value	string_t	string.empty	true	cast_string.mixed.bool.false	runtime_success		Mixed bool false delegates to native bool->string cast.
mixed.bool.true						supported	deterministic_value	string_t	string.one	true	cast_string.mixed.bool.true	runtime_success		Mixed bool true delegates to native bool->string cast.
mixed.int.zero						supported	deterministic_value	string_t	string.zero_string	true	cast_string.mixed.int.zero	runtime_success		Mixed int zero delegates to native int->string cast.
mixed.int.nonzero						supported	deterministic_value	string_t	string.seven	true	cast_string.mixed.int.nonzero	runtime_success		Mixed int non-zero delegates to native int->string cast.
mixed.float.zero						supported	deterministic_value	string_t	string.zero_string	true	cast_string.mixed.float.zero	runtime_success		Mixed float zero delegates to native float->string cast.
mixed.float.nonzero						supported	deterministic_value	string_t	string.float_3_5	true	cast_string.mixed.float.nonzero	runtime_success		Mixed float non-zero delegates to native float->string cast.
mixed.string.empty						supported	deterministic_value	string_t	string.empty	true	cast_string.mixed.string.empty	runtime_success		Mixed empty string preserves the string payload.
mixed.string.zero_string						supported	deterministic_value	string_t	string.zero_string	true	cast_string.mixed.string.zero_string	runtime_success		Mixed string 0 preserves the string payload.
mixed.string.bool_false_literal						supported	deterministic_value	string_t	string.bool_false_literal	true	cast_string.mixed.string.bool_false_literal	runtime_success		Mixed false string literal preserves the string payload.
mixed.string.bool_true_literal						supported	deterministic_value	string_t	string.bool_true_literal	true	cast_string.mixed.string.bool_true_literal	runtime_success		Mixed true string literal preserves the string payload.
mixed.string.nonempty_nonzero_nonbool_literal						supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	cast_string.mixed.string.other	runtime_success		Mixed non-bool string preserves the string payload.
mixed.hash.empty						supported	throws	string_t	string.empty	true	cast_string.mixed.hash.empty	runtime_throw	invalid_mixed_kind_for_cast_string	Mixed hash runtime kind is not convertible to string_t.
mixed.hash.nonempty						supported	throws	string_t	string.empty	true	cast_string.mixed.hash.nonempty	runtime_throw	invalid_mixed_kind_for_cast_string	Mixed hash runtime kind is not convertible to string_t.
