lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.bool.false						supported	deterministic_value	bool_t	bool.false	true	condition.mixed.bool.false	runtime_success		Allowed mixed bool false participates in condition context.
mixed.bool.true						supported	deterministic_value	bool_t	bool.true	true	condition.mixed.bool.true	runtime_success		Allowed mixed bool true participates in condition context.
mixed.int.zero						supported	deterministic_value	bool_t	bool.false	true	condition.mixed.int.zero	runtime_success		Allowed mixed int zero participates in condition context.
mixed.int.nonzero						supported	deterministic_value	bool_t	bool.true	true	condition.mixed.int.nonzero	runtime_success		Allowed mixed int non-zero participates in condition context.
mixed.float.zero						supported	deterministic_value	bool_t	bool.false	true	condition.mixed.float.zero	runtime_success		Allowed mixed float zero participates in condition context.
mixed.float.nonzero						supported	deterministic_value	bool_t	bool.true	true	condition.mixed.float.nonzero	runtime_success		Allowed mixed float non-zero participates in condition context.
mixed.null						supported	deterministic_value	bool_t	bool.false	true	condition.mixed.null	runtime_success		Mixed null now participates in condition context as false.
mixed.string.empty						supported	deterministic_value	bool_t	bool.false	true	condition.mixed.string.empty	runtime_success		Mixed empty string participates in condition context as false.
mixed.string.zero_string						supported	deterministic_value	bool_t	bool.false	true	condition.mixed.string.zero_string	runtime_success		"Mixed string ""0"" participates in condition context as false."
mixed.string.bool_false_literal						supported	deterministic_value	bool_t	bool.true	true	condition.mixed.string.bool_false_literal	runtime_success		Mixed non-empty string participates in condition context as true even when its contents look like a bool literal.
mixed.string.bool_true_literal						supported	deterministic_value	bool_t	bool.true	true	condition.mixed.string.bool_true_literal	runtime_success		Mixed non-empty string participates in condition context as true.
mixed.string.nonempty_nonzero_nonbool_literal						supported	deterministic_value	bool_t	bool.true	true	condition.mixed.string.other	runtime_success		Mixed non-empty non-zero string participates in condition context as true.
mixed.hash.empty						supported	throws	bool_t	bool.false	true	condition.mixed.hash.empty	runtime_throw	invalid_condition_type	Hash mixed runtime kind is not allowed in condition context.
mixed.hash.nonempty						supported	throws	bool_t	bool.false	true	condition.mixed.hash.nonempty	runtime_throw	invalid_condition_type	Hash mixed runtime kind is not allowed in condition context.
