lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	null	null	null	null	null	supported	deterministic_value	bool_t	bool.false	true	isset_value.mixed.null	runtime_success	null	Mixed null is not set because the value is null.
mixed.bool.false	null	null	null	null	null	supported	deterministic_value	bool_t	bool.true	true	isset_value.mixed.bool.false	runtime_success	null	Mixed false is set because it is present and non-null.
mixed.bool.true	null	null	null	null	null	supported	deterministic_value	bool_t	bool.true	true	isset_value.mixed.bool.true	runtime_success	null	Mixed true is set because it is present and non-null.
mixed.int.zero	null	null	null	null	null	supported	deterministic_value	bool_t	bool.true	true	isset_value.mixed.int.zero	runtime_success	null	Mixed integer zero is set because it is present and non-null.
mixed.int.nonzero	null	null	null	null	null	supported	deterministic_value	bool_t	bool.true	true	isset_value.mixed.int.nonzero	runtime_success	null	Mixed non-zero integer is set because it is present and non-null.
mixed.float.zero	null	null	null	null	null	supported	deterministic_value	bool_t	bool.true	true	isset_value.mixed.float.zero	runtime_success	null	Mixed float zero is set because it is present and non-null.
mixed.float.nonzero	null	null	null	null	null	supported	deterministic_value	bool_t	bool.true	true	isset_value.mixed.float.nonzero	runtime_success	null	Mixed non-zero float is set because it is present and non-null.
mixed.string.empty	null	null	null	null	null	supported	deterministic_value	bool_t	bool.true	true	isset_value.mixed.string.empty	runtime_success	null	Mixed empty string is set because it is present and non-null.
mixed.string.zero_string	null	null	null	null	null	supported	deterministic_value	bool_t	bool.true	true	isset_value.mixed.string.zero_string	runtime_success	null	Mixed "0" is set because it is present and non-null.
mixed.string.bool_false_literal	null	null	null	null	null	supported	deterministic_value	bool_t	bool.true	true	isset_value.mixed.string.bool_false_literal	runtime_success	null	Mixed strings are set because they are present and non-null.
mixed.string.bool_true_literal	null	null	null	null	null	supported	deterministic_value	bool_t	bool.true	true	isset_value.mixed.string.bool_true_literal	runtime_success	null	Mixed strings are set because they are present and non-null.
mixed.string.nonempty_nonzero_nonbool_literal	null	null	null	null	null	supported	deterministic_value	bool_t	bool.true	true	isset_value.mixed.string.nonempty_nonzero_nonbool_literal	runtime_success	null	Mixed strings are set because they are present and non-null.
mixed.hash.empty	null	null	null	null	null	supported	deterministic_value	bool_t	bool.true	true	isset_value.mixed.hash.empty	runtime_success	null	Mixed hash values are set because the carrier is present and non-null.
mixed.hash.nonempty	null	null	null	null	null	supported	deterministic_value	bool_t	bool.true	true	isset_value.mixed.hash.nonempty	runtime_success	null	Mixed hash values are set because the carrier is present and non-null.
