lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	null	null	keyed_element	null	null	compile_time_rejected	null	null	null	true	unset_keyed.mixed.null.keyed	compile_fail	unsupported_unset_keyed_target	Keyed unset is only modeled for hash-backed targets in the current lowering slice.
mixed.bool.false	null	null	keyed_element	null	null	compile_time_rejected	null	null	null	true	unset_keyed.mixed.bool.false.keyed	compile_fail	unsupported_unset_keyed_target	Keyed unset is only modeled for hash-backed targets in the current lowering slice.
mixed.bool.true	null	null	keyed_element	null	null	compile_time_rejected	null	null	null	true	unset_keyed.mixed.bool.true.keyed	compile_fail	unsupported_unset_keyed_target	Keyed unset is only modeled for hash-backed targets in the current lowering slice.
mixed.int.zero	null	null	keyed_element	null	null	compile_time_rejected	null	null	null	true	unset_keyed.mixed.int.zero.keyed	compile_fail	unsupported_unset_keyed_target	Keyed unset is only modeled for hash-backed targets in the current lowering slice.
mixed.int.nonzero	null	null	keyed_element	null	null	compile_time_rejected	null	null	null	true	unset_keyed.mixed.int.nonzero.keyed	compile_fail	unsupported_unset_keyed_target	Keyed unset is only modeled for hash-backed targets in the current lowering slice.
mixed.float.zero	null	null	keyed_element	null	null	compile_time_rejected	null	null	null	true	unset_keyed.mixed.float.zero.keyed	compile_fail	unsupported_unset_keyed_target	Keyed unset is only modeled for hash-backed targets in the current lowering slice.
mixed.float.nonzero	null	null	keyed_element	null	null	compile_time_rejected	null	null	null	true	unset_keyed.mixed.float.nonzero.keyed	compile_fail	unsupported_unset_keyed_target	Keyed unset is only modeled for hash-backed targets in the current lowering slice.
mixed.string.empty	null	null	keyed_element	null	null	compile_time_rejected	null	null	null	true	unset_keyed.mixed.string.empty.keyed	compile_fail	unsupported_unset_keyed_target	Keyed unset is only modeled for hash-backed targets in the current lowering slice.
mixed.string.zero_string	null	null	keyed_element	null	null	compile_time_rejected	null	null	null	true	unset_keyed.mixed.string.zero_string.keyed	compile_fail	unsupported_unset_keyed_target	Keyed unset is only modeled for hash-backed targets in the current lowering slice.
mixed.string.bool_false_literal	null	null	keyed_element	null	null	compile_time_rejected	null	null	null	true	unset_keyed.mixed.string.bool_false_literal.keyed	compile_fail	unsupported_unset_keyed_target	Keyed unset is only modeled for hash-backed targets in the current lowering slice.
mixed.string.bool_true_literal	null	null	keyed_element	null	null	compile_time_rejected	null	null	null	true	unset_keyed.mixed.string.bool_true_literal.keyed	compile_fail	unsupported_unset_keyed_target	Keyed unset is only modeled for hash-backed targets in the current lowering slice.
mixed.string.nonempty_nonzero_nonbool_literal	null	null	keyed_element	null	null	compile_time_rejected	null	null	null	true	unset_keyed.mixed.string.nonempty_nonzero_nonbool_literal.keyed	compile_fail	unsupported_unset_keyed_target	Keyed unset is only modeled for hash-backed targets in the current lowering slice.
mixed.hash.empty	null	null	keyed_element	null	null	supported	noop	bool_t	bool.false	true	unset_keyed.mixed.hash.empty.keyed	runtime_success	null	unset on a missing key is a no-op and the key remains absent.
mixed.hash.nonempty	null	null	keyed_element	null	null	supported	deterministic_value	bool_t	bool.false	true	unset_keyed.mixed.hash.nonempty.keyed	runtime_success	null	unset removes an existing representative key and leaves it absent afterward.
