lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	mixed.null					supported	throws	int_t	int.zero	true	modulo.mixed.non_numeric	runtime_throw		Mixed arithmetic rejects non-numeric runtime kinds in the current dispatch surface.
mixed.null	mixed.bool.false					supported	throws	int_t	int.zero	true	modulo.mixed.non_numeric	runtime_throw		Mixed arithmetic rejects non-numeric runtime kinds in the current dispatch surface.
mixed.null	mixed.bool.true					supported	throws	int_t	int.zero	true	modulo.mixed.non_numeric	runtime_throw		Mixed arithmetic rejects non-numeric runtime kinds in the current dispatch surface.
mixed.null	mixed.int.zero					supported	throws	int_t	int.zero	true	modulo.mixed.non_numeric	runtime_throw		Mixed arithmetic rejects non-numeric runtime kinds in the current dispatch surface.
mixed.null	mixed.int.nonzero					supported	throws	int_t	int.zero	true	modulo.mixed.non_numeric	runtime_throw		Mixed arithmetic rejects non-numeric runtime kinds in the current dispatch surface.
mixed.null	mixed.float.zero					supported	throws	int_t	int.zero	true	modulo.mixed.non_numeric	runtime_throw		Mixed arithmetic rejects non-numeric runtime kinds in the current dispatch surface.
mixed.null	mixed.float.nonzero					supported	throws	int_t	int.zero	true	modulo.mixed.non_numeric	runtime_throw		Mixed arithmetic rejects non-numeric runtime kinds in the current dispatch surface.
mixed.null	mixed.string.empty					supported	throws	int_t	int.zero	true	modulo.mixed.non_numeric	runtime_throw		Mixed arithmetic rejects non-numeric runtime kinds in the current dispatch surface.
mixed.null	mixed.string.zero_string					supported	throws	int_t	int.zero	true	modulo.mixed.non_numeric	runtime_throw		Mixed arithmetic rejects non-numeric runtime kinds in the current dispatch surface.
mixed.null	mixed.string.bool_false_literal					supported	throws	int_t	int.zero	true	modulo.mixed.non_numeric	runtime_throw		Mixed arithmetic rejects non-numeric runtime kinds in the current dispatch surface.
mixed.null	mixed.string.bool_true_literal					supported	throws	int_t	int.zero	true	modulo.mixed.non_numeric	runtime_throw		Mixed arithmetic rejects non-numeric runtime kinds in the current dispatch surface.
mixed.null	mixed.string.nonempty_nonzero_nonbool_literal					supported	throws	int_t	int.zero	true	modulo.mixed.non_numeric	runtime_throw		Mixed arithmetic rejects non-numeric runtime kinds in the current dispatch surface.
