"lhs_profile"	"rhs_profile"	"third_profile"	"lhs_target_kind"	"rhs_target_kind"	"third_target_kind"	"status"	"behavior_class"	"result_type"	"result_profile"	"edge_case"	"edge_case_id"	"test_seed_class"	"diagnostic_class"	"notes"
"result_or_bool.sentinel.false"	"result_or_bool.sentinel.false"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
"result_or_bool.sentinel.false"	"result_or_bool.sentinel.true"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
"result_or_bool.sentinel.false"	"result_or_bool.success.int.zero"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
"result_or_bool.sentinel.false"	"result_or_bool.success.int.nonzero"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
"result_or_bool.sentinel.true"	"result_or_bool.sentinel.false"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
"result_or_bool.sentinel.true"	"result_or_bool.sentinel.true"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
"result_or_bool.sentinel.true"	"result_or_bool.success.int.zero"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
"result_or_bool.sentinel.true"	"result_or_bool.success.int.nonzero"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
"result_or_bool.success.int.zero"	"result_or_bool.sentinel.false"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
"result_or_bool.success.int.zero"	"result_or_bool.sentinel.true"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
"result_or_bool.success.int.zero"	"result_or_bool.success.int.zero"	""	""	""	""	"supported"	"deterministic_value"	"int_t"	"int.zero"	"true"	"bitwise_and.int_zero.int_zero"	"runtime_success"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
"result_or_bool.success.int.zero"	"result_or_bool.success.int.nonzero"	""	""	""	""	"supported"	"deterministic_value"	"int_t"	"int.zero"	"true"	"bitwise_and.int_zero.int_nonzero"	"runtime_success"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
"result_or_bool.success.int.nonzero"	"result_or_bool.sentinel.false"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
"result_or_bool.success.int.nonzero"	"result_or_bool.sentinel.true"	""	""	""	""	"supported"	"throws"	"int_t"	"int.zero"	"true"	"bitwise.wrapper.empty"	"runtime_throw"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
"result_or_bool.success.int.nonzero"	"result_or_bool.success.int.zero"	""	""	""	""	"supported"	"deterministic_value"	"int_t"	"int.zero"	"true"	"bitwise_and.int_nonzero.int_zero"	"runtime_success"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
"result_or_bool.success.int.nonzero"	"result_or_bool.success.int.nonzero"	""	""	""	""	"supported"	"deterministic_value"	"int_t"	"int.nonzero"	"true"	"bitwise_and.int_nonzero.int_nonzero"	"runtime_success"	""	"Lifted integer bitwise operator unwraps wrapper operands first and rejects bool-sentinel wrapper states."
