lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	mixed.null					supported	throws	bool_t	bool.false	true	logical_and.mixed.non_logical_kind	runtime_throw		Mixed logical dispatch rejects runtime kinds without a supported native logical family.
mixed.null	mixed.bool.false					supported	throws	bool_t	bool.false	true	logical_and.mixed.non_logical_kind	runtime_throw		Mixed logical dispatch rejects runtime kinds without a supported native logical family.
mixed.null	mixed.bool.true					supported	throws	bool_t	bool.false	true	logical_and.mixed.non_logical_kind	runtime_throw		Mixed logical dispatch rejects runtime kinds without a supported native logical family.
mixed.null	mixed.int.zero					supported	throws	bool_t	bool.false	true	logical_and.mixed.non_logical_kind	runtime_throw		Mixed logical dispatch rejects runtime kinds without a supported native logical family.
mixed.null	mixed.int.nonzero					supported	throws	bool_t	bool.false	true	logical_and.mixed.non_logical_kind	runtime_throw		Mixed logical dispatch rejects runtime kinds without a supported native logical family.
mixed.null	mixed.float.zero					supported	throws	bool_t	bool.false	true	logical_and.mixed.non_logical_kind	runtime_throw		Mixed logical dispatch rejects runtime kinds without a supported native logical family.
mixed.null	mixed.float.nonzero					supported	throws	bool_t	bool.false	true	logical_and.mixed.non_logical_kind	runtime_throw		Mixed logical dispatch rejects runtime kinds without a supported native logical family.
mixed.null	mixed.string.empty					supported	throws	bool_t	bool.false	true	logical_and.mixed.non_logical_kind	runtime_throw		Mixed logical dispatch rejects runtime kinds without a supported native logical family.
mixed.null	mixed.string.zero_string					supported	throws	bool_t	bool.false	true	logical_and.mixed.non_logical_kind	runtime_throw		Mixed logical dispatch rejects runtime kinds without a supported native logical family.
mixed.null	mixed.string.bool_false_literal					supported	throws	bool_t	bool.false	true	logical_and.mixed.non_logical_kind	runtime_throw		Mixed logical dispatch rejects runtime kinds without a supported native logical family.
mixed.null	mixed.string.bool_true_literal					supported	throws	bool_t	bool.false	true	logical_and.mixed.non_logical_kind	runtime_throw		Mixed logical dispatch rejects runtime kinds without a supported native logical family.
mixed.null	mixed.string.nonempty_nonzero_nonbool_literal					supported	throws	bool_t	bool.false	true	logical_and.mixed.non_logical_kind	runtime_throw		Mixed logical dispatch rejects runtime kinds without a supported native logical family.
