lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	result_or_bool.sentinel.false					supported	throws	bool_t	bool.false	true	logical_and.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.sentinel.true					supported	throws	bool_t	bool.false	true	logical_and.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.success.int.zero					supported	throws	bool_t	bool.false	true	logical_and.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.success.int.nonzero					supported	throws	bool_t	bool.false	true	logical_and.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.true	result_or_bool.sentinel.false					supported	throws	bool_t	bool.false	true	logical_and.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.true	result_or_bool.sentinel.true					supported	throws	bool_t	bool.false	true	logical_and.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.true	result_or_bool.success.int.zero					supported	throws	bool_t	bool.false	true	logical_and.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.true	result_or_bool.success.int.nonzero					supported	throws	bool_t	bool.false	true	logical_and.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.success.int.zero	result_or_bool.sentinel.false					supported	throws	bool_t	bool.false	true	logical_and.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.success.int.zero	result_or_bool.sentinel.true					supported	throws	bool_t	bool.false	true	logical_and.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.success.int.zero	result_or_bool.success.int.zero					supported	deterministic_value	bool_t	bool.false	true	logical_and.int_zero.int_zero	runtime_success		Deterministic logical dispatch follows the current bool/numeric logical operator family.
result_or_bool.success.int.zero	result_or_bool.success.int.nonzero					supported	deterministic_value	bool_t	bool.false	true	logical_and.int_zero.int_nonzero	runtime_success		Deterministic logical dispatch follows the current bool/numeric logical operator family.
result_or_bool.success.int.nonzero	result_or_bool.sentinel.false					supported	throws	bool_t	bool.false	true	logical_and.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.success.int.nonzero	result_or_bool.sentinel.true					supported	throws	bool_t	bool.false	true	logical_and.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.success.int.nonzero	result_or_bool.success.int.zero					supported	deterministic_value	bool_t	bool.false	true	logical_and.int_nonzero.int_zero	runtime_success		Deterministic logical dispatch follows the current bool/numeric logical operator family.
result_or_bool.success.int.nonzero	result_or_bool.success.int.nonzero					supported	deterministic_value	bool_t	bool.true	true	logical_and.int_nonzero.int_nonzero	runtime_success		Deterministic logical dispatch follows the current bool/numeric logical operator family.
