lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	result_or_bool.sentinel.false					supported	throws	bool_t	bool.false	true	logical_or.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.sentinel.true					supported	throws	bool_t	bool.false	true	logical_or.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.success.bool.false					supported	throws	bool_t	bool.false	true	logical_or.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.success.bool.true					supported	throws	bool_t	bool.false	true	logical_or.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.true	result_or_bool.sentinel.false					supported	throws	bool_t	bool.false	true	logical_or.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.true	result_or_bool.sentinel.true					supported	throws	bool_t	bool.false	true	logical_or.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.true	result_or_bool.success.bool.false					supported	throws	bool_t	bool.false	true	logical_or.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.true	result_or_bool.success.bool.true					supported	throws	bool_t	bool.false	true	logical_or.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.success.bool.false	result_or_bool.sentinel.false					supported	throws	bool_t	bool.false	true	logical_or.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.success.bool.false	result_or_bool.sentinel.true					supported	throws	bool_t	bool.false	true	logical_or.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.success.bool.false	result_or_bool.success.bool.false					supported	deterministic_value	bool_t	bool.false	true	logical_or.bool_false.bool_false	runtime_success		Deterministic logical dispatch follows the current bool/numeric logical operator family.
result_or_bool.success.bool.false	result_or_bool.success.bool.true					supported	deterministic_value	bool_t	bool.true	true	logical_or.bool_false.bool_true	runtime_success		Deterministic logical dispatch follows the current bool/numeric logical operator family.
result_or_bool.success.bool.true	result_or_bool.sentinel.false					supported	throws	bool_t	bool.false	true	logical_or.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.success.bool.true	result_or_bool.sentinel.true					supported	throws	bool_t	bool.false	true	logical_or.wrapper.empty	runtime_throw		Lifted logical operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.success.bool.true	result_or_bool.success.bool.false					supported	deterministic_value	bool_t	bool.true	true	logical_or.bool_true.bool_false	runtime_success		Deterministic logical dispatch follows the current bool/numeric logical operator family.
result_or_bool.success.bool.true	result_or_bool.success.bool.true					supported	deterministic_value	bool_t	bool.true	true	logical_or.bool_true.bool_true	runtime_success		Deterministic logical dispatch follows the current bool/numeric logical operator family.
