lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	result_or_bool.sentinel.false					supported	throws	bool_t	bool.false	true	greater_than.wrapper.empty	runtime_throw		Lifted ordering operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.sentinel.true					supported	throws	bool_t	bool.false	true	greater_than.wrapper.empty	runtime_throw		Lifted ordering operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.success.int.zero					supported	throws	bool_t	bool.false	true	greater_than.wrapper.empty	runtime_throw		Lifted ordering operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.success.int.nonzero					supported	throws	bool_t	bool.false	true	greater_than.wrapper.empty	runtime_throw		Lifted ordering operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.true	result_or_bool.sentinel.false					supported	throws	bool_t	bool.false	true	greater_than.wrapper.empty	runtime_throw		Lifted ordering operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.true	result_or_bool.sentinel.true					supported	throws	bool_t	bool.false	true	greater_than.wrapper.empty	runtime_throw		Lifted ordering operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.true	result_or_bool.success.int.zero					supported	throws	bool_t	bool.false	true	greater_than.wrapper.empty	runtime_throw		Lifted ordering operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.sentinel.true	result_or_bool.success.int.nonzero					supported	throws	bool_t	bool.false	true	greater_than.wrapper.empty	runtime_throw		Lifted ordering operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.success.int.zero	result_or_bool.sentinel.false					supported	throws	bool_t	bool.false	true	greater_than.wrapper.empty	runtime_throw		Lifted ordering operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.success.int.zero	result_or_bool.sentinel.true					supported	throws	bool_t	bool.false	true	greater_than.wrapper.empty	runtime_throw		Lifted ordering operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.success.int.zero	result_or_bool.success.int.zero					supported	deterministic_value	bool_t	bool.false	true	greater_than.int_zero.int_zero	runtime_success		Deterministic ordering dispatch follows the current numeric operator family.
result_or_bool.success.int.zero	result_or_bool.success.int.nonzero					supported	deterministic_value	bool_t	bool.false	true	greater_than.int_zero.int_nonzero	runtime_success		Deterministic ordering dispatch follows the current numeric operator family.
result_or_bool.success.int.nonzero	result_or_bool.sentinel.false					supported	throws	bool_t	bool.false	true	greater_than.wrapper.empty	runtime_throw		Lifted ordering operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.success.int.nonzero	result_or_bool.sentinel.true					supported	throws	bool_t	bool.false	true	greater_than.wrapper.empty	runtime_throw		Lifted ordering operators unwrap wrapper operands first and reject empty wrapper states.
result_or_bool.success.int.nonzero	result_or_bool.success.int.zero					supported	deterministic_value	bool_t	bool.true	true	greater_than.int_nonzero.int_zero	runtime_success		Deterministic ordering dispatch follows the current numeric operator family.
result_or_bool.success.int.nonzero	result_or_bool.success.int.nonzero					supported	deterministic_value	bool_t	bool.false	true	greater_than.int_nonzero.int_nonzero	runtime_success		Deterministic ordering dispatch follows the current numeric operator family.
