lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
string.empty	string.empty					supported	deterministic_value	bool_t	bool.true	true	greater_than_or_equal.string_empty.string_empty	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.empty	string.zero_string					supported	deterministic_value	bool_t	bool.false	true	greater_than_or_equal.string_empty.string_zero_string	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.empty	string.bool_false_literal					supported	deterministic_value	bool_t	bool.false	true	greater_than_or_equal.string_empty.string_bool_false_literal	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.empty	string.bool_true_literal					supported	deterministic_value	bool_t	bool.false	true	greater_than_or_equal.string_empty.string_bool_true_literal	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.empty	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.false	true	greater_than_or_equal.string_empty.string_nonempty_nonzero_nonbool_literal	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.zero_string	string.empty					supported	deterministic_value	bool_t	bool.true	true	greater_than_or_equal.string_zero_string.string_empty	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.zero_string	string.zero_string					supported	deterministic_value	bool_t	bool.true	true	greater_than_or_equal.string_zero_string.string_zero_string	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.zero_string	string.bool_false_literal					supported	deterministic_value	bool_t	bool.false	true	greater_than_or_equal.string_zero_string.string_bool_false_literal	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.zero_string	string.bool_true_literal					supported	deterministic_value	bool_t	bool.false	true	greater_than_or_equal.string_zero_string.string_bool_true_literal	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.zero_string	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.false	true	greater_than_or_equal.string_zero_string.string_nonempty_nonzero_nonbool_literal	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.bool_false_literal	string.empty					supported	deterministic_value	bool_t	bool.true	true	greater_than_or_equal.string_bool_false_literal.string_empty	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.bool_false_literal	string.zero_string					supported	deterministic_value	bool_t	bool.true	true	greater_than_or_equal.string_bool_false_literal.string_zero_string	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.bool_false_literal	string.bool_false_literal					supported	deterministic_value	bool_t	bool.true	true	greater_than_or_equal.string_bool_false_literal.string_bool_false_literal	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.bool_false_literal	string.bool_true_literal					supported	deterministic_value	bool_t	bool.false	true	greater_than_or_equal.string_bool_false_literal.string_bool_true_literal	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.bool_false_literal	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.false	true	greater_than_or_equal.string_bool_false_literal.string_nonempty_nonzero_nonbool_literal	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.bool_true_literal	string.empty					supported	deterministic_value	bool_t	bool.true	true	greater_than_or_equal.string_bool_true_literal.string_empty	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
string.bool_true_literal	string.zero_string					supported	deterministic_value	bool_t	bool.true	true	greater_than_or_equal.string_bool_true_literal.string_zero_string	runtime_success		Deterministic ordering follows lexicographic string comparison in the current runtime surface.
