lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	mixed.null					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.null	mixed.bool.false					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.null	mixed.bool.true					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.null	mixed.int.zero					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.null	mixed.int.nonzero					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.null	mixed.float.zero					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.null	mixed.float.nonzero					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.null	mixed.string.empty					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.null	mixed.string.zero_string					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.null	mixed.string.bool_false_literal					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.null	mixed.string.bool_true_literal					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.null	mixed.string.nonempty_nonzero_nonbool_literal					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.null	mixed.hash.empty					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.null	mixed.hash.nonempty					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.false	mixed.null					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.false	mixed.bool.false					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.false	mixed.bool.true					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.false	mixed.int.zero					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.false	mixed.int.nonzero					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.false	mixed.float.zero					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.false	mixed.float.nonzero					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.false	mixed.string.empty					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.false	mixed.string.zero_string					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.false	mixed.string.bool_false_literal					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.false	mixed.string.bool_true_literal					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.false	mixed.string.nonempty_nonzero_nonbool_literal					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.false	mixed.hash.empty					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.false	mixed.hash.nonempty					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.true	mixed.null					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.true	mixed.bool.false					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
mixed.bool.true	mixed.bool.true					supported	throws	bool_t	bool.false	true	less_than_or_equal.mixed.non_numeric	runtime_throw		Mixed ordering dispatch rejects runtime kinds without a supported numeric ordering family.
