lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
float.zero	float.zero		assignable_variable			supported	deterministic_value	float_t	float.zero	true	add_assign.float_zero.float_zero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs variable.
float.zero	float.zero		member_property			supported	deterministic_value	float_t	float.zero	true	add_assign.float_zero.float_zero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs member property.
float.zero	float.zero		chained_writable_path			supported	deterministic_value	float_t	float.zero	true	add_assign.float_zero.float_zero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs chained writable path.
float.zero	float.zero		keyed_element			supported	deterministic_value	float_t	float.zero	true	add_assign.float_zero.float_zero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs keyed element.
float.zero	float.nonzero		assignable_variable			supported	deterministic_value	float_t	float.nonzero	true	add_assign.float_zero.float_nonzero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs variable.
float.zero	float.nonzero		member_property			supported	deterministic_value	float_t	float.nonzero	true	add_assign.float_zero.float_nonzero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs member property.
float.zero	float.nonzero		chained_writable_path			supported	deterministic_value	float_t	float.nonzero	true	add_assign.float_zero.float_nonzero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs chained writable path.
float.zero	float.nonzero		keyed_element			supported	deterministic_value	float_t	float.nonzero	true	add_assign.float_zero.float_nonzero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs keyed element.
float.nonzero	float.zero		assignable_variable			supported	deterministic_value	float_t	float.nonzero	true	add_assign.float_nonzero.float_zero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs variable.
float.nonzero	float.zero		member_property			supported	deterministic_value	float_t	float.nonzero	true	add_assign.float_nonzero.float_zero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs member property.
float.nonzero	float.zero		chained_writable_path			supported	deterministic_value	float_t	float.nonzero	true	add_assign.float_nonzero.float_zero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs chained writable path.
float.nonzero	float.zero		keyed_element			supported	deterministic_value	float_t	float.nonzero	true	add_assign.float_nonzero.float_zero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs keyed element.
float.nonzero	float.nonzero		assignable_variable			supported	deterministic_value	float_t	float.seven	true	add_assign.float_nonzero.float_nonzero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs variable.
float.nonzero	float.nonzero		member_property			supported	deterministic_value	float_t	float.seven	true	add_assign.float_nonzero.float_nonzero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs member property.
float.nonzero	float.nonzero		chained_writable_path			supported	deterministic_value	float_t	float.seven	true	add_assign.float_nonzero.float_nonzero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs chained writable path.
float.nonzero	float.nonzero		keyed_element			supported	deterministic_value	float_t	float.seven	true	add_assign.float_nonzero.float_nonzero	runtime_success		Compound += follows the established float arithmetic surface and assigns back into the lhs keyed element.
