lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
int.zero	int.zero		assignable_variable			supported	deterministic_value	int_t	int.zero	true	multiply_assign.int_zero.int_zero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs variable.
int.zero	int.zero		member_property			supported	deterministic_value	int_t	int.zero	true	multiply_assign.int_zero.int_zero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs member property.
int.zero	int.zero		chained_writable_path			supported	deterministic_value	int_t	int.zero	true	multiply_assign.int_zero.int_zero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs chained writable path.
int.zero	int.zero		keyed_element			supported	deterministic_value	int_t	int.zero	true	multiply_assign.int_zero.int_zero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs keyed element.
int.zero	int.nonzero		assignable_variable			supported	deterministic_value	int_t	int.zero	true	multiply_assign.int_zero.int_nonzero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs variable.
int.zero	int.nonzero		member_property			supported	deterministic_value	int_t	int.zero	true	multiply_assign.int_zero.int_nonzero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs member property.
int.zero	int.nonzero		chained_writable_path			supported	deterministic_value	int_t	int.zero	true	multiply_assign.int_zero.int_nonzero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs chained writable path.
int.zero	int.nonzero		keyed_element			supported	deterministic_value	int_t	int.zero	true	multiply_assign.int_zero.int_nonzero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs keyed element.
int.nonzero	int.zero		assignable_variable			supported	deterministic_value	int_t	int.zero	true	multiply_assign.int_nonzero.int_zero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs variable.
int.nonzero	int.zero		member_property			supported	deterministic_value	int_t	int.zero	true	multiply_assign.int_nonzero.int_zero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs member property.
int.nonzero	int.zero		chained_writable_path			supported	deterministic_value	int_t	int.zero	true	multiply_assign.int_nonzero.int_zero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs chained writable path.
int.nonzero	int.zero		keyed_element			supported	deterministic_value	int_t	int.zero	true	multiply_assign.int_nonzero.int_zero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs keyed element.
int.nonzero	int.nonzero		assignable_variable			supported	deterministic_value	int_t	int.forty_nine	true	multiply_assign.int_nonzero.int_nonzero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs variable.
int.nonzero	int.nonzero		member_property			supported	deterministic_value	int_t	int.forty_nine	true	multiply_assign.int_nonzero.int_nonzero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs member property.
int.nonzero	int.nonzero		chained_writable_path			supported	deterministic_value	int_t	int.forty_nine	true	multiply_assign.int_nonzero.int_nonzero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs chained writable path.
int.nonzero	int.nonzero		keyed_element			supported	deterministic_value	int_t	int.forty_nine	true	multiply_assign.int_nonzero.int_nonzero	runtime_success		Compound *= follows the established integer arithmetic surface and assigns back into the lhs keyed element.
