lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
float.zero	mixed.null					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.float_t.to.mixed.float.zero.rhs.mixed.null	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.zero	mixed.bool.false					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.float_t.to.mixed.float.zero.rhs.mixed.bool.false	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.zero	mixed.bool.true					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.float_t.to.mixed.float.zero.rhs.mixed.bool.true	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.zero	mixed.int.zero					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.float_t.to.mixed.float.zero.rhs.mixed.int.zero	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.zero	mixed.int.nonzero					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.float_t.to.mixed.float.zero.rhs.mixed.int.nonzero	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.zero	mixed.float.zero					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.float_t.to.mixed.float.zero.rhs.mixed.float.zero	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.zero	mixed.float.nonzero					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.float_t.to.mixed.float.zero.rhs.mixed.float.nonzero	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.zero	mixed.string.empty					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.float_t.to.mixed.float.zero.rhs.mixed.string.empty	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.zero	mixed.string.zero_string					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.float_t.to.mixed.float.zero.rhs.mixed.string.zero_string	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.zero	mixed.string.bool_false_literal					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.float_t.to.mixed.float.zero.rhs.mixed.string.bool_false_literal	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.zero	mixed.string.bool_true_literal					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.float_t.to.mixed.float.zero.rhs.mixed.string.bool_true_literal	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.zero	mixed.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.float_t.to.mixed.float.zero.rhs.mixed.string.nonempty_nonzero_nonbool_literal	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.zero	mixed.hash.empty					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.float_t.to.mixed.float.zero.rhs.mixed.hash.empty	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.zero	mixed.hash.nonempty					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.float_t.to.mixed.float.zero.rhs.mixed.hash.nonempty	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.nonzero	mixed.null					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.float_t.to.mixed.float.nonzero.rhs.mixed.null	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.nonzero	mixed.bool.false					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.float_t.to.mixed.float.nonzero.rhs.mixed.bool.false	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.nonzero	mixed.bool.true					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.float_t.to.mixed.float.nonzero.rhs.mixed.bool.true	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.nonzero	mixed.int.zero					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.float_t.to.mixed.float.nonzero.rhs.mixed.int.zero	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
float.nonzero	mixed.int.nonzero					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.float_t.to.mixed.float.nonzero.rhs.mixed.int.nonzero	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
