lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	bool.false					supported	deterministic_value	mixed_t	mixed.bool.false	true	coalesce.mixed.to.bool_t.mixed.null.rhs.bool.false	runtime_success		Null mixed uses the normalized right fallback profile.
mixed.null	bool.true					supported	deterministic_value	mixed_t	mixed.bool.true	true	coalesce.mixed.to.bool_t.mixed.null.rhs.bool.true	runtime_success		Null mixed uses the normalized right fallback profile.
mixed.bool.false	bool.false					supported	deterministic_value	mixed_t	mixed.bool.false	true	coalesce.mixed.to.bool_t.mixed.bool.false.rhs.bool.false	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.false	bool.true					supported	deterministic_value	mixed_t	mixed.bool.false	true	coalesce.mixed.to.bool_t.mixed.bool.false.rhs.bool.true	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.true	bool.false					supported	deterministic_value	mixed_t	mixed.bool.true	true	coalesce.mixed.to.bool_t.mixed.bool.true.rhs.bool.false	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.true	bool.true					supported	deterministic_value	mixed_t	mixed.bool.true	true	coalesce.mixed.to.bool_t.mixed.bool.true.rhs.bool.true	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.zero	bool.false					supported	deterministic_value	mixed_t	mixed.int.zero	true	coalesce.mixed.to.bool_t.mixed.int.zero.rhs.bool.false	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.zero	bool.true					supported	deterministic_value	mixed_t	mixed.int.zero	true	coalesce.mixed.to.bool_t.mixed.int.zero.rhs.bool.true	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.nonzero	bool.false					supported	deterministic_value	mixed_t	mixed.int.nonzero	true	coalesce.mixed.to.bool_t.mixed.int.nonzero.rhs.bool.false	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.nonzero	bool.true					supported	deterministic_value	mixed_t	mixed.int.nonzero	true	coalesce.mixed.to.bool_t.mixed.int.nonzero.rhs.bool.true	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.zero	bool.false					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.mixed.to.bool_t.mixed.float.zero.rhs.bool.false	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.zero	bool.true					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.mixed.to.bool_t.mixed.float.zero.rhs.bool.true	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.nonzero	bool.false					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.mixed.to.bool_t.mixed.float.nonzero.rhs.bool.false	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.nonzero	bool.true					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.mixed.to.bool_t.mixed.float.nonzero.rhs.bool.true	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.empty	bool.false					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.mixed.to.bool_t.mixed.string.empty.rhs.bool.false	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.empty	bool.true					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.mixed.to.bool_t.mixed.string.empty.rhs.bool.true	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.zero_string	bool.false					supported	deterministic_value	mixed_t	mixed.string.zero_string	true	coalesce.mixed.to.bool_t.mixed.string.zero_string.rhs.bool.false	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.zero_string	bool.true					supported	deterministic_value	mixed_t	mixed.string.zero_string	true	coalesce.mixed.to.bool_t.mixed.string.zero_string.rhs.bool.true	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.bool_false_literal	bool.false					supported	deterministic_value	mixed_t	mixed.string.bool_false_literal	true	coalesce.mixed.to.bool_t.mixed.string.bool_false_literal.rhs.bool.false	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.bool_false_literal	bool.true					supported	deterministic_value	mixed_t	mixed.string.bool_false_literal	true	coalesce.mixed.to.bool_t.mixed.string.bool_false_literal.rhs.bool.true	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.bool_true_literal	bool.false					supported	deterministic_value	mixed_t	mixed.string.bool_true_literal	true	coalesce.mixed.to.bool_t.mixed.string.bool_true_literal.rhs.bool.false	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.bool_true_literal	bool.true					supported	deterministic_value	mixed_t	mixed.string.bool_true_literal	true	coalesce.mixed.to.bool_t.mixed.string.bool_true_literal.rhs.bool.true	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.nonempty_nonzero_nonbool_literal	bool.false					supported	deterministic_value	mixed_t	mixed.string.nonempty_nonzero_nonbool_literal	true	coalesce.mixed.to.bool_t.mixed.string.nonempty_nonzero_nonbool_literal.rhs.bool.false	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.nonempty_nonzero_nonbool_literal	bool.true					supported	deterministic_value	mixed_t	mixed.string.nonempty_nonzero_nonbool_literal	true	coalesce.mixed.to.bool_t.mixed.string.nonempty_nonzero_nonbool_literal.rhs.bool.true	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.hash.empty	bool.false					supported	deterministic_value	mixed_t	mixed.hash.empty	true	coalesce.mixed.to.bool_t.mixed.hash.empty.rhs.bool.false	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.hash.empty	bool.true					supported	deterministic_value	mixed_t	mixed.hash.empty	true	coalesce.mixed.to.bool_t.mixed.hash.empty.rhs.bool.true	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.hash.nonempty	bool.false					supported	deterministic_value	mixed_t	mixed.hash.nonempty	true	coalesce.mixed.to.bool_t.mixed.hash.nonempty.rhs.bool.false	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.hash.nonempty	bool.true					supported	deterministic_value	mixed_t	mixed.hash.nonempty	true	coalesce.mixed.to.bool_t.mixed.hash.nonempty.rhs.bool.true	runtime_success		Non-null mixed preserves the left dynamic carrier.
