lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	float.zero					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.mixed.to.float_t.mixed.null.rhs.float.zero	runtime_success		Null mixed uses the normalized right fallback profile.
mixed.null	float.nonzero					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.mixed.to.float_t.mixed.null.rhs.float.nonzero	runtime_success		Null mixed uses the normalized right fallback profile.
mixed.bool.false	float.zero					supported	deterministic_value	mixed_t	mixed.bool.false	true	coalesce.mixed.to.float_t.mixed.bool.false.rhs.float.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.false	float.nonzero					supported	deterministic_value	mixed_t	mixed.bool.false	true	coalesce.mixed.to.float_t.mixed.bool.false.rhs.float.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.true	float.zero					supported	deterministic_value	mixed_t	mixed.bool.true	true	coalesce.mixed.to.float_t.mixed.bool.true.rhs.float.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.true	float.nonzero					supported	deterministic_value	mixed_t	mixed.bool.true	true	coalesce.mixed.to.float_t.mixed.bool.true.rhs.float.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.zero	float.zero					supported	deterministic_value	mixed_t	mixed.int.zero	true	coalesce.mixed.to.float_t.mixed.int.zero.rhs.float.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.zero	float.nonzero					supported	deterministic_value	mixed_t	mixed.int.zero	true	coalesce.mixed.to.float_t.mixed.int.zero.rhs.float.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.nonzero	float.zero					supported	deterministic_value	mixed_t	mixed.int.nonzero	true	coalesce.mixed.to.float_t.mixed.int.nonzero.rhs.float.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.nonzero	float.nonzero					supported	deterministic_value	mixed_t	mixed.int.nonzero	true	coalesce.mixed.to.float_t.mixed.int.nonzero.rhs.float.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
