lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	int.zero					supported	deterministic_value	mixed_t	mixed.int.zero	true	coalesce.mixed.to.int_t.mixed.null.rhs.int.zero	runtime_success		Null mixed uses the normalized right fallback profile.
mixed.null	int.nonzero					supported	deterministic_value	mixed_t	mixed.int.nonzero	true	coalesce.mixed.to.int_t.mixed.null.rhs.int.nonzero	runtime_success		Null mixed uses the normalized right fallback profile.
mixed.bool.false	int.zero					supported	deterministic_value	mixed_t	mixed.bool.false	true	coalesce.mixed.to.int_t.mixed.bool.false.rhs.int.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.false	int.nonzero					supported	deterministic_value	mixed_t	mixed.bool.false	true	coalesce.mixed.to.int_t.mixed.bool.false.rhs.int.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.true	int.zero					supported	deterministic_value	mixed_t	mixed.bool.true	true	coalesce.mixed.to.int_t.mixed.bool.true.rhs.int.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.true	int.nonzero					supported	deterministic_value	mixed_t	mixed.bool.true	true	coalesce.mixed.to.int_t.mixed.bool.true.rhs.int.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.zero	int.zero					supported	deterministic_value	mixed_t	mixed.int.zero	true	coalesce.mixed.to.int_t.mixed.int.zero.rhs.int.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.zero	int.nonzero					supported	deterministic_value	mixed_t	mixed.int.zero	true	coalesce.mixed.to.int_t.mixed.int.zero.rhs.int.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.nonzero	int.zero					supported	deterministic_value	mixed_t	mixed.int.nonzero	true	coalesce.mixed.to.int_t.mixed.int.nonzero.rhs.int.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.nonzero	int.nonzero					supported	deterministic_value	mixed_t	mixed.int.nonzero	true	coalesce.mixed.to.int_t.mixed.int.nonzero.rhs.int.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.zero	int.zero					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.mixed.to.int_t.mixed.float.zero.rhs.int.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.zero	int.nonzero					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.mixed.to.int_t.mixed.float.zero.rhs.int.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.nonzero	int.zero					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.mixed.to.int_t.mixed.float.nonzero.rhs.int.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.nonzero	int.nonzero					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.mixed.to.int_t.mixed.float.nonzero.rhs.int.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.empty	int.zero					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.mixed.to.int_t.mixed.string.empty.rhs.int.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.empty	int.nonzero					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.mixed.to.int_t.mixed.string.empty.rhs.int.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.zero_string	int.zero					supported	deterministic_value	mixed_t	mixed.string.zero_string	true	coalesce.mixed.to.int_t.mixed.string.zero_string.rhs.int.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.zero_string	int.nonzero					supported	deterministic_value	mixed_t	mixed.string.zero_string	true	coalesce.mixed.to.int_t.mixed.string.zero_string.rhs.int.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.bool_false_literal	int.zero					supported	deterministic_value	mixed_t	mixed.string.bool_false_literal	true	coalesce.mixed.to.int_t.mixed.string.bool_false_literal.rhs.int.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.bool_false_literal	int.nonzero					supported	deterministic_value	mixed_t	mixed.string.bool_false_literal	true	coalesce.mixed.to.int_t.mixed.string.bool_false_literal.rhs.int.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.bool_true_literal	int.zero					supported	deterministic_value	mixed_t	mixed.string.bool_true_literal	true	coalesce.mixed.to.int_t.mixed.string.bool_true_literal.rhs.int.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.bool_true_literal	int.nonzero					supported	deterministic_value	mixed_t	mixed.string.bool_true_literal	true	coalesce.mixed.to.int_t.mixed.string.bool_true_literal.rhs.int.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.nonempty_nonzero_nonbool_literal	int.zero					supported	deterministic_value	mixed_t	mixed.string.nonempty_nonzero_nonbool_literal	true	coalesce.mixed.to.int_t.mixed.string.nonempty_nonzero_nonbool_literal.rhs.int.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.nonempty_nonzero_nonbool_literal	int.nonzero					supported	deterministic_value	mixed_t	mixed.string.nonempty_nonzero_nonbool_literal	true	coalesce.mixed.to.int_t.mixed.string.nonempty_nonzero_nonbool_literal.rhs.int.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.hash.empty	int.zero					supported	deterministic_value	mixed_t	mixed.hash.empty	true	coalesce.mixed.to.int_t.mixed.hash.empty.rhs.int.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.hash.empty	int.nonzero					supported	deterministic_value	mixed_t	mixed.hash.empty	true	coalesce.mixed.to.int_t.mixed.hash.empty.rhs.int.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.hash.nonempty	int.zero					supported	deterministic_value	mixed_t	mixed.hash.nonempty	true	coalesce.mixed.to.int_t.mixed.hash.nonempty.rhs.int.zero	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.hash.nonempty	int.nonzero					supported	deterministic_value	mixed_t	mixed.hash.nonempty	true	coalesce.mixed.to.int_t.mixed.hash.nonempty.rhs.int.nonzero	runtime_success		Non-null mixed preserves the left dynamic carrier.
