lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	nullable.empty					supported	throws			true	coalesce.mixed_t.nullable(bool_t).mixed.null.rhs.nullable.empty	coalesce_runtime_reject	coalesce_selected_branch_has_no_usable_value_domain	Both sides reduce to fallback-triggering states for this explicit profile combination; coalesce working slice runtime-rejects rows without a usable selected value domain.
mixed.null	nullable.present.bool.false					supported	deterministic_value	bool_t	bool.false	true	coalesce.mixed_t.nullable(bool_t).mixed.null.rhs.nullable.present.bool.false	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
mixed.null	nullable.present.bool.true					supported	deterministic_value	bool_t	bool.true	true	coalesce.mixed_t.nullable(bool_t).mixed.null.rhs.nullable.present.bool.true	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
mixed.bool.false	nullable.empty					supported	deterministic_value	bool_t	bool.false	true	coalesce.mixed_t.nullable(bool_t).mixed.bool.false.rhs.nullable.empty	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.false	nullable.present.bool.false					supported	deterministic_value	bool_t	bool.false	true	coalesce.mixed_t.nullable(bool_t).mixed.bool.false.rhs.nullable.present.bool.false	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.false	nullable.present.bool.true					supported	deterministic_value	bool_t	bool.false	true	coalesce.mixed_t.nullable(bool_t).mixed.bool.false.rhs.nullable.present.bool.true	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.true	nullable.empty					supported	deterministic_value	bool_t	bool.true	true	coalesce.mixed_t.nullable(bool_t).mixed.bool.true.rhs.nullable.empty	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.true	nullable.present.bool.false					supported	deterministic_value	bool_t	bool.true	true	coalesce.mixed_t.nullable(bool_t).mixed.bool.true.rhs.nullable.present.bool.false	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.true	nullable.present.bool.true					supported	deterministic_value	bool_t	bool.true	true	coalesce.mixed_t.nullable(bool_t).mixed.bool.true.rhs.nullable.present.bool.true	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.int.zero	nullable.empty					supported	deterministic_value	int_t	int.zero	true	coalesce.mixed_t.nullable(bool_t).mixed.int.zero.rhs.nullable.empty	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.int.zero	nullable.present.bool.false					supported	deterministic_value	int_t	int.zero	true	coalesce.mixed_t.nullable(bool_t).mixed.int.zero.rhs.nullable.present.bool.false	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
