lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	nullable.empty					supported	throws			true	coalesce.mixed_t.nullable(int_t).mixed.null.rhs.nullable.empty	coalesce_runtime_reject	coalesce_selected_branch_has_no_usable_value_domain	Both sides reduce to fallback-triggering states for this explicit profile combination; coalesce working slice runtime-rejects rows without a usable selected value domain.
mixed.null	nullable.present.int.zero					supported	deterministic_value	int_t	int.zero	true	coalesce.mixed_t.nullable(int_t).mixed.null.rhs.nullable.present.int.zero	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
mixed.null	nullable.present.int.nonzero					supported	deterministic_value	int_t	int.nonzero	true	coalesce.mixed_t.nullable(int_t).mixed.null.rhs.nullable.present.int.nonzero	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
mixed.bool.false	nullable.empty					supported	deterministic_value	bool_t	bool.false	true	coalesce.mixed_t.nullable(int_t).mixed.bool.false.rhs.nullable.empty	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.false	nullable.present.int.zero					supported	deterministic_value	bool_t	bool.false	true	coalesce.mixed_t.nullable(int_t).mixed.bool.false.rhs.nullable.present.int.zero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.false	nullable.present.int.nonzero					supported	deterministic_value	bool_t	bool.false	true	coalesce.mixed_t.nullable(int_t).mixed.bool.false.rhs.nullable.present.int.nonzero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.true	nullable.empty					supported	deterministic_value	bool_t	bool.true	true	coalesce.mixed_t.nullable(int_t).mixed.bool.true.rhs.nullable.empty	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.true	nullable.present.int.zero					supported	deterministic_value	bool_t	bool.true	true	coalesce.mixed_t.nullable(int_t).mixed.bool.true.rhs.nullable.present.int.zero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.true	nullable.present.int.nonzero					supported	deterministic_value	bool_t	bool.true	true	coalesce.mixed_t.nullable(int_t).mixed.bool.true.rhs.nullable.present.int.nonzero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.int.zero	nullable.empty					supported	deterministic_value	int_t	int.zero	true	coalesce.mixed_t.nullable(int_t).mixed.int.zero.rhs.nullable.empty	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.int.zero	nullable.present.int.zero					supported	deterministic_value	int_t	int.zero	true	coalesce.mixed_t.nullable(int_t).mixed.int.zero.rhs.nullable.present.int.zero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.int.zero	nullable.present.int.nonzero					supported	deterministic_value	int_t	int.zero	true	coalesce.mixed_t.nullable(int_t).mixed.int.zero.rhs.nullable.present.int.nonzero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.int.nonzero	nullable.empty					supported	deterministic_value	int_t	int.nonzero	true	coalesce.mixed_t.nullable(int_t).mixed.int.nonzero.rhs.nullable.empty	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.int.nonzero	nullable.present.int.zero					supported	deterministic_value	int_t	int.nonzero	true	coalesce.mixed_t.nullable(int_t).mixed.int.nonzero.rhs.nullable.present.int.zero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.int.nonzero	nullable.present.int.nonzero					supported	deterministic_value	int_t	int.nonzero	true	coalesce.mixed_t.nullable(int_t).mixed.int.nonzero.rhs.nullable.present.int.nonzero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.float.zero	nullable.empty					supported	deterministic_value	float_t	float.zero	true	coalesce.mixed_t.nullable(int_t).mixed.float.zero.rhs.nullable.empty	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
