lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	result.failure					supported	throws			true	coalesce.mixed_t.result(float_t).mixed.null.rhs.result.failure	coalesce_runtime_reject	coalesce_selected_branch_has_no_usable_value_domain	Both sides reduce to fallback-triggering states for this explicit profile combination; coalesce working slice runtime-rejects rows without a usable selected value domain.
mixed.null	result.success.float.zero					supported	deterministic_value	float_t	float.zero	true	coalesce.mixed_t.result(float_t).mixed.null.rhs.result.success.float.zero	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
mixed.null	result.success.float.nonzero					supported	deterministic_value	float_t	float.nonzero	true	coalesce.mixed_t.result(float_t).mixed.null.rhs.result.success.float.nonzero	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
mixed.bool.false	result.failure					supported	deterministic_value	bool_t	bool.false	true	coalesce.mixed_t.result(float_t).mixed.bool.false.rhs.result.failure	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.false	result.success.float.zero					supported	deterministic_value	bool_t	bool.false	true	coalesce.mixed_t.result(float_t).mixed.bool.false.rhs.result.success.float.zero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.false	result.success.float.nonzero					supported	deterministic_value	bool_t	bool.false	true	coalesce.mixed_t.result(float_t).mixed.bool.false.rhs.result.success.float.nonzero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.true	result.failure					supported	deterministic_value	bool_t	bool.true	true	coalesce.mixed_t.result(float_t).mixed.bool.true.rhs.result.failure	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.true	result.success.float.zero					supported	deterministic_value	bool_t	bool.true	true	coalesce.mixed_t.result(float_t).mixed.bool.true.rhs.result.success.float.zero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.true	result.success.float.nonzero					supported	deterministic_value	bool_t	bool.true	true	coalesce.mixed_t.result(float_t).mixed.bool.true.rhs.result.success.float.nonzero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.int.zero	result.failure					supported	deterministic_value	int_t	int.zero	true	coalesce.mixed_t.result(float_t).mixed.int.zero.rhs.result.failure	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.int.zero	result.success.float.zero					supported	deterministic_value	int_t	int.zero	true	coalesce.mixed_t.result(float_t).mixed.int.zero.rhs.result.success.float.zero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.int.zero	result.success.float.nonzero					supported	deterministic_value	int_t	int.zero	true	coalesce.mixed_t.result(float_t).mixed.int.zero.rhs.result.success.float.nonzero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.int.nonzero	result.failure					supported	deterministic_value	int_t	int.nonzero	true	coalesce.mixed_t.result(float_t).mixed.int.nonzero.rhs.result.failure	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.int.nonzero	result.success.float.zero					supported	deterministic_value	int_t	int.nonzero	true	coalesce.mixed_t.result(float_t).mixed.int.nonzero.rhs.result.success.float.zero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.int.nonzero	result.success.float.nonzero					supported	deterministic_value	int_t	int.nonzero	true	coalesce.mixed_t.result(float_t).mixed.int.nonzero.rhs.result.success.float.nonzero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.float.zero	result.failure					supported	deterministic_value	float_t	float.zero	true	coalesce.mixed_t.result(float_t).mixed.float.zero.rhs.result.failure	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.float.zero	result.success.float.zero					supported	deterministic_value	float_t	float.zero	true	coalesce.mixed_t.result(float_t).mixed.float.zero.rhs.result.success.float.zero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.float.zero	result.success.float.nonzero					supported	deterministic_value	float_t	float.zero	true	coalesce.mixed_t.result(float_t).mixed.float.zero.rhs.result.success.float.nonzero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.float.nonzero	result.failure					supported	deterministic_value	float_t	float.nonzero	true	coalesce.mixed_t.result(float_t).mixed.float.nonzero.rhs.result.failure	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.float.nonzero	result.success.float.zero					supported	deterministic_value	float_t	float.nonzero	true	coalesce.mixed_t.result(float_t).mixed.float.nonzero.rhs.result.success.float.zero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.float.nonzero	result.success.float.nonzero					supported	deterministic_value	float_t	float.nonzero	true	coalesce.mixed_t.result(float_t).mixed.float.nonzero.rhs.result.success.float.nonzero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.string.empty	result.failure					supported	deterministic_value	string_t	string.empty	true	coalesce.mixed_t.result(float_t).mixed.string.empty.rhs.result.failure	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
