lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	result_or_bool.sentinel.false					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.null.rhs.result_or_bool.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.null	result_or_bool.sentinel.true					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.null.rhs.result_or_bool.sentinel.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.null	result_or_bool.success.bool.false					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.null.rhs.result_or_bool.success.bool.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.null	result_or_bool.success.bool.true					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.null.rhs.result_or_bool.success.bool.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.bool.false	result_or_bool.sentinel.false					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.bool.false.rhs.result_or_bool.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.bool.false	result_or_bool.sentinel.true					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.bool.false.rhs.result_or_bool.sentinel.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.bool.false	result_or_bool.success.bool.false					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.bool.false.rhs.result_or_bool.success.bool.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.bool.false	result_or_bool.success.bool.true					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.bool.false.rhs.result_or_bool.success.bool.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.bool.true	result_or_bool.sentinel.false					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.bool.true.rhs.result_or_bool.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.bool.true	result_or_bool.sentinel.true					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.bool.true.rhs.result_or_bool.sentinel.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.bool.true	result_or_bool.success.bool.false					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.bool.true.rhs.result_or_bool.success.bool.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.bool.true	result_or_bool.success.bool.true					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.bool.true.rhs.result_or_bool.success.bool.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.int.zero	result_or_bool.sentinel.false					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.int.zero.rhs.result_or_bool.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.int.zero	result_or_bool.sentinel.true					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.int.zero.rhs.result_or_bool.sentinel.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.int.zero	result_or_bool.success.bool.false					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.int.zero.rhs.result_or_bool.success.bool.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.int.zero	result_or_bool.success.bool.true					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.int.zero.rhs.result_or_bool.success.bool.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.int.nonzero	result_or_bool.sentinel.false					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.int.nonzero.rhs.result_or_bool.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.int.nonzero	result_or_bool.sentinel.true					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.int.nonzero.rhs.result_or_bool.sentinel.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.int.nonzero	result_or_bool.success.bool.false					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.int.nonzero.rhs.result_or_bool.success.bool.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.int.nonzero	result_or_bool.success.bool.true					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.int.nonzero.rhs.result_or_bool.success.bool.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.float.zero	result_or_bool.sentinel.false					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.float.zero.rhs.result_or_bool.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.float.zero	result_or_bool.sentinel.true					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.float.zero.rhs.result_or_bool.sentinel.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.float.zero	result_or_bool.success.bool.false					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.float.zero.rhs.result_or_bool.success.bool.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.float.zero	result_or_bool.success.bool.true					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.float.zero.rhs.result_or_bool.success.bool.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
mixed.float.nonzero	result_or_bool.sentinel.false					supported	throws			true	coalesce.reject.mixed_t.result_or_bool(bool_t).mixed.float.nonzero.rhs.result_or_bool.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
