lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	result_or_false.sentinel.false					supported	throws			true	coalesce.mixed_t.result_or_false(float_t).mixed.null.rhs.result_or_false.sentinel.false	coalesce_runtime_reject	coalesce_selected_branch_has_no_usable_value_domain	Both sides reduce to fallback-triggering states for this explicit profile combination; coalesce working slice runtime-rejects rows without a usable selected value domain.
mixed.null	result_or_false.success.float.zero					supported	deterministic_value	float_t	float.zero	true	coalesce.mixed_t.result_or_false(float_t).mixed.null.rhs.result_or_false.success.float.zero	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
mixed.null	result_or_false.success.float.nonzero					supported	deterministic_value	float_t	float.nonzero	true	coalesce.mixed_t.result_or_false(float_t).mixed.null.rhs.result_or_false.success.float.nonzero	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
mixed.bool.false	result_or_false.sentinel.false					supported	deterministic_value	bool_t	bool.false	true	coalesce.mixed_t.result_or_false(float_t).mixed.bool.false.rhs.result_or_false.sentinel.false	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.false	result_or_false.success.float.zero					supported	deterministic_value	bool_t	bool.false	true	coalesce.mixed_t.result_or_false(float_t).mixed.bool.false.rhs.result_or_false.success.float.zero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.false	result_or_false.success.float.nonzero					supported	deterministic_value	bool_t	bool.false	true	coalesce.mixed_t.result_or_false(float_t).mixed.bool.false.rhs.result_or_false.success.float.nonzero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.true	result_or_false.sentinel.false					supported	deterministic_value	bool_t	bool.true	true	coalesce.mixed_t.result_or_false(float_t).mixed.bool.true.rhs.result_or_false.sentinel.false	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.true	result_or_false.success.float.zero					supported	deterministic_value	bool_t	bool.true	true	coalesce.mixed_t.result_or_false(float_t).mixed.bool.true.rhs.result_or_false.success.float.zero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.bool.true	result_or_false.success.float.nonzero					supported	deterministic_value	bool_t	bool.true	true	coalesce.mixed_t.result_or_false(float_t).mixed.bool.true.rhs.result_or_false.success.float.nonzero	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
mixed.int.zero	result_or_false.sentinel.false					supported	deterministic_value	int_t	int.zero	true	coalesce.mixed_t.result_or_false(float_t).mixed.int.zero.rhs.result_or_false.sentinel.false	coalesce_wrapper_mixed		mixed_t coalesce uses selected value domain for explicitly defined runtime kinds only.
