lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	string.empty					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.mixed.to.string_t.mixed.null.rhs.string.empty	runtime_success		Null mixed uses the normalized right fallback profile.
mixed.null	string.zero_string					supported	deterministic_value	mixed_t	mixed.string.zero_string	true	coalesce.mixed.to.string_t.mixed.null.rhs.string.zero_string	runtime_success		Null mixed uses the normalized right fallback profile.
mixed.null	string.bool_false_literal					supported	deterministic_value	mixed_t	mixed.string.bool_false_literal	true	coalesce.mixed.to.string_t.mixed.null.rhs.string.bool_false_literal	runtime_success		Null mixed uses the normalized right fallback profile.
mixed.null	string.bool_true_literal					supported	deterministic_value	mixed_t	mixed.string.bool_true_literal	true	coalesce.mixed.to.string_t.mixed.null.rhs.string.bool_true_literal	runtime_success		Null mixed uses the normalized right fallback profile.
mixed.null	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	mixed_t	mixed.string.nonempty_nonzero_nonbool_literal	true	coalesce.mixed.to.string_t.mixed.null.rhs.string.nonempty_nonzero_nonbool_literal	runtime_success		Null mixed uses the normalized right fallback profile.
mixed.bool.false	string.empty					supported	deterministic_value	mixed_t	mixed.bool.false	true	coalesce.mixed.to.string_t.mixed.bool.false.rhs.string.empty	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.false	string.zero_string					supported	deterministic_value	mixed_t	mixed.bool.false	true	coalesce.mixed.to.string_t.mixed.bool.false.rhs.string.zero_string	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.false	string.bool_false_literal					supported	deterministic_value	mixed_t	mixed.bool.false	true	coalesce.mixed.to.string_t.mixed.bool.false.rhs.string.bool_false_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.false	string.bool_true_literal					supported	deterministic_value	mixed_t	mixed.bool.false	true	coalesce.mixed.to.string_t.mixed.bool.false.rhs.string.bool_true_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.false	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	mixed_t	mixed.bool.false	true	coalesce.mixed.to.string_t.mixed.bool.false.rhs.string.nonempty_nonzero_nonbool_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.true	string.empty					supported	deterministic_value	mixed_t	mixed.bool.true	true	coalesce.mixed.to.string_t.mixed.bool.true.rhs.string.empty	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.true	string.zero_string					supported	deterministic_value	mixed_t	mixed.bool.true	true	coalesce.mixed.to.string_t.mixed.bool.true.rhs.string.zero_string	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.true	string.bool_false_literal					supported	deterministic_value	mixed_t	mixed.bool.true	true	coalesce.mixed.to.string_t.mixed.bool.true.rhs.string.bool_false_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.true	string.bool_true_literal					supported	deterministic_value	mixed_t	mixed.bool.true	true	coalesce.mixed.to.string_t.mixed.bool.true.rhs.string.bool_true_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.bool.true	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	mixed_t	mixed.bool.true	true	coalesce.mixed.to.string_t.mixed.bool.true.rhs.string.nonempty_nonzero_nonbool_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.zero	string.empty					supported	deterministic_value	mixed_t	mixed.int.zero	true	coalesce.mixed.to.string_t.mixed.int.zero.rhs.string.empty	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.zero	string.zero_string					supported	deterministic_value	mixed_t	mixed.int.zero	true	coalesce.mixed.to.string_t.mixed.int.zero.rhs.string.zero_string	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.zero	string.bool_false_literal					supported	deterministic_value	mixed_t	mixed.int.zero	true	coalesce.mixed.to.string_t.mixed.int.zero.rhs.string.bool_false_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.zero	string.bool_true_literal					supported	deterministic_value	mixed_t	mixed.int.zero	true	coalesce.mixed.to.string_t.mixed.int.zero.rhs.string.bool_true_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.zero	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	mixed_t	mixed.int.zero	true	coalesce.mixed.to.string_t.mixed.int.zero.rhs.string.nonempty_nonzero_nonbool_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.nonzero	string.empty					supported	deterministic_value	mixed_t	mixed.int.nonzero	true	coalesce.mixed.to.string_t.mixed.int.nonzero.rhs.string.empty	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.nonzero	string.zero_string					supported	deterministic_value	mixed_t	mixed.int.nonzero	true	coalesce.mixed.to.string_t.mixed.int.nonzero.rhs.string.zero_string	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.nonzero	string.bool_false_literal					supported	deterministic_value	mixed_t	mixed.int.nonzero	true	coalesce.mixed.to.string_t.mixed.int.nonzero.rhs.string.bool_false_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.nonzero	string.bool_true_literal					supported	deterministic_value	mixed_t	mixed.int.nonzero	true	coalesce.mixed.to.string_t.mixed.int.nonzero.rhs.string.bool_true_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.int.nonzero	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	mixed_t	mixed.int.nonzero	true	coalesce.mixed.to.string_t.mixed.int.nonzero.rhs.string.nonempty_nonzero_nonbool_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.zero	string.empty					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.mixed.to.string_t.mixed.float.zero.rhs.string.empty	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.zero	string.zero_string					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.mixed.to.string_t.mixed.float.zero.rhs.string.zero_string	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.zero	string.bool_false_literal					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.mixed.to.string_t.mixed.float.zero.rhs.string.bool_false_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.zero	string.bool_true_literal					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.mixed.to.string_t.mixed.float.zero.rhs.string.bool_true_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.zero	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.mixed.to.string_t.mixed.float.zero.rhs.string.nonempty_nonzero_nonbool_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.nonzero	string.empty					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.mixed.to.string_t.mixed.float.nonzero.rhs.string.empty	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.nonzero	string.zero_string					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.mixed.to.string_t.mixed.float.nonzero.rhs.string.zero_string	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.nonzero	string.bool_false_literal					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.mixed.to.string_t.mixed.float.nonzero.rhs.string.bool_false_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.nonzero	string.bool_true_literal					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.mixed.to.string_t.mixed.float.nonzero.rhs.string.bool_true_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.float.nonzero	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.mixed.to.string_t.mixed.float.nonzero.rhs.string.nonempty_nonzero_nonbool_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.empty	string.empty					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.mixed.to.string_t.mixed.string.empty.rhs.string.empty	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.empty	string.zero_string					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.mixed.to.string_t.mixed.string.empty.rhs.string.zero_string	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.empty	string.bool_false_literal					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.mixed.to.string_t.mixed.string.empty.rhs.string.bool_false_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
mixed.string.empty	string.bool_true_literal					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.mixed.to.string_t.mixed.string.empty.rhs.string.bool_true_literal	runtime_success		Non-null mixed preserves the left dynamic carrier.
