lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
nullable.empty	mixed.null					supported	deterministic_value	mixed_t	mixed.null	true	coalesce.nullable<float_t>.to.mixed.nullable.empty.rhs.mixed.null	runtime_success		Empty nullable falls back to the right mixed profile.
nullable.empty	mixed.bool.false					supported	deterministic_value	mixed_t	mixed.bool.false	true	coalesce.nullable<float_t>.to.mixed.nullable.empty.rhs.mixed.bool.false	runtime_success		Empty nullable falls back to the right mixed profile.
nullable.empty	mixed.bool.true					supported	deterministic_value	mixed_t	mixed.bool.true	true	coalesce.nullable<float_t>.to.mixed.nullable.empty.rhs.mixed.bool.true	runtime_success		Empty nullable falls back to the right mixed profile.
nullable.empty	mixed.int.zero					supported	deterministic_value	mixed_t	mixed.int.zero	true	coalesce.nullable<float_t>.to.mixed.nullable.empty.rhs.mixed.int.zero	runtime_success		Empty nullable falls back to the right mixed profile.
nullable.empty	mixed.int.nonzero					supported	deterministic_value	mixed_t	mixed.int.nonzero	true	coalesce.nullable<float_t>.to.mixed.nullable.empty.rhs.mixed.int.nonzero	runtime_success		Empty nullable falls back to the right mixed profile.
nullable.empty	mixed.float.zero					supported	deterministic_value	mixed_t	mixed.float.zero	true	coalesce.nullable<float_t>.to.mixed.nullable.empty.rhs.mixed.float.zero	runtime_success		Empty nullable falls back to the right mixed profile.
nullable.empty	mixed.float.nonzero					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	coalesce.nullable<float_t>.to.mixed.nullable.empty.rhs.mixed.float.nonzero	runtime_success		Empty nullable falls back to the right mixed profile.
nullable.empty	mixed.string.empty					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.nullable<float_t>.to.mixed.nullable.empty.rhs.mixed.string.empty	runtime_success		Empty nullable falls back to the right mixed profile.
nullable.empty	mixed.string.zero_string					supported	deterministic_value	mixed_t	mixed.string.zero_string	true	coalesce.nullable<float_t>.to.mixed.nullable.empty.rhs.mixed.string.zero_string	runtime_success		Empty nullable falls back to the right mixed profile.
nullable.empty	mixed.string.bool_false_literal					supported	deterministic_value	mixed_t	mixed.string.bool_false_literal	true	coalesce.nullable<float_t>.to.mixed.nullable.empty.rhs.mixed.string.bool_false_literal	runtime_success		Empty nullable falls back to the right mixed profile.
nullable.empty	mixed.string.bool_true_literal					supported	deterministic_value	mixed_t	mixed.string.bool_true_literal	true	coalesce.nullable<float_t>.to.mixed.nullable.empty.rhs.mixed.string.bool_true_literal	runtime_success		Empty nullable falls back to the right mixed profile.
nullable.empty	mixed.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	mixed_t	mixed.string.nonempty_nonzero_nonbool_literal	true	coalesce.nullable<float_t>.to.mixed.nullable.empty.rhs.mixed.string.nonempty_nonzero_nonbool_literal	runtime_success		Empty nullable falls back to the right mixed profile.
