lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
nullable.empty	result_or_bool.sentinel.false					supported	throws			true	coalesce.reject.nullable(int_t).result_or_bool(int_t).nullable.empty.rhs.result_or_bool.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
nullable.empty	result_or_bool.sentinel.true					supported	throws			true	coalesce.reject.nullable(int_t).result_or_bool(int_t).nullable.empty.rhs.result_or_bool.sentinel.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
nullable.empty	result_or_bool.success.int.zero					supported	throws			true	coalesce.reject.nullable(int_t).result_or_bool(int_t).nullable.empty.rhs.result_or_bool.success.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
nullable.empty	result_or_bool.success.int.nonzero					supported	throws			true	coalesce.reject.nullable(int_t).result_or_bool(int_t).nullable.empty.rhs.result_or_bool.success.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
nullable.present.int.zero	result_or_bool.sentinel.false					supported	throws			true	coalesce.reject.nullable(int_t).result_or_bool(int_t).nullable.present.int.zero.rhs.result_or_bool.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
nullable.present.int.zero	result_or_bool.sentinel.true					supported	throws			true	coalesce.reject.nullable(int_t).result_or_bool(int_t).nullable.present.int.zero.rhs.result_or_bool.sentinel.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
nullable.present.int.zero	result_or_bool.success.int.zero					supported	throws			true	coalesce.reject.nullable(int_t).result_or_bool(int_t).nullable.present.int.zero.rhs.result_or_bool.success.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
nullable.present.int.zero	result_or_bool.success.int.nonzero					supported	throws			true	coalesce.reject.nullable(int_t).result_or_bool(int_t).nullable.present.int.zero.rhs.result_or_bool.success.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
nullable.present.int.nonzero	result_or_bool.sentinel.false					supported	throws			true	coalesce.reject.nullable(int_t).result_or_bool(int_t).nullable.present.int.nonzero.rhs.result_or_bool.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
nullable.present.int.nonzero	result_or_bool.sentinel.true					supported	throws			true	coalesce.reject.nullable(int_t).result_or_bool(int_t).nullable.present.int.nonzero.rhs.result_or_bool.sentinel.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
nullable.present.int.nonzero	result_or_bool.success.int.zero					supported	throws			true	coalesce.reject.nullable(int_t).result_or_bool(int_t).nullable.present.int.nonzero.rhs.result_or_bool.success.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
nullable.present.int.nonzero	result_or_bool.success.int.nonzero					supported	throws			true	coalesce.reject.nullable(int_t).result_or_bool(int_t).nullable.present.int.nonzero.rhs.result_or_bool.success.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
