lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result.failure	mixed.null					supported	deterministic_value	mixed_t	mixed.null	true	coalesce.result(float_t).mixed_t.result.failure.rhs.mixed.null	runtime_success		Left side is in a fallback-triggering state; the selected fallback branch is mixed.null, which remains a valid selected mixed result domain.
result.failure	mixed.bool.false					supported	deterministic_value	bool_t	bool.false	true	coalesce.result(float_t).mixed_t.result.failure.rhs.mixed.bool.false	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.failure	mixed.bool.true					supported	deterministic_value	bool_t	bool.true	true	coalesce.result(float_t).mixed_t.result.failure.rhs.mixed.bool.true	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.failure	mixed.int.zero					supported	deterministic_value	int_t	int.zero	true	coalesce.result(float_t).mixed_t.result.failure.rhs.mixed.int.zero	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.failure	mixed.int.nonzero					supported	deterministic_value	int_t	int.nonzero	true	coalesce.result(float_t).mixed_t.result.failure.rhs.mixed.int.nonzero	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.failure	mixed.float.zero					supported	deterministic_value	float_t	float.zero	true	coalesce.result(float_t).mixed_t.result.failure.rhs.mixed.float.zero	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.failure	mixed.float.nonzero					supported	deterministic_value	float_t	float.nonzero	true	coalesce.result(float_t).mixed_t.result.failure.rhs.mixed.float.nonzero	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.failure	mixed.string.empty					supported	deterministic_value	string_t	string.empty	true	coalesce.result(float_t).mixed_t.result.failure.rhs.mixed.string.empty	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.failure	mixed.string.zero_string					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result(float_t).mixed_t.result.failure.rhs.mixed.string.zero_string	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.failure	mixed.string.bool_false_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result(float_t).mixed_t.result.failure.rhs.mixed.string.bool_false_literal	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.failure	mixed.string.bool_true_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result(float_t).mixed_t.result.failure.rhs.mixed.string.bool_true_literal	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.failure	mixed.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result(float_t).mixed_t.result.failure.rhs.mixed.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.failure	mixed.hash.empty					supported	deterministic_value	mixed_t	mixed.hash.empty	true	coalesce.result(float_t).mixed_t.result.failure.rhs.mixed.hash.empty	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.failure	mixed.hash.nonempty					supported	deterministic_value	mixed_t	mixed.hash.nonempty	true	coalesce.result(float_t).mixed_t.result.failure.rhs.mixed.hash.nonempty	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result.success.float.zero	mixed.null					supported	deterministic_value	float_t	float.zero	true	coalesce.result(float_t).mixed_t.result.success.float.zero.rhs.mixed.null	coalesce_wrapper_mixed		Approved result wrapper auto-unpacks on success state for coalesce.
result.success.float.zero	mixed.bool.false					supported	deterministic_value	float_t	float.zero	true	coalesce.result(float_t).mixed_t.result.success.float.zero.rhs.mixed.bool.false	coalesce_wrapper_mixed		Approved result wrapper auto-unpacks on success state for coalesce.
result.success.float.zero	mixed.bool.true					supported	deterministic_value	float_t	float.zero	true	coalesce.result(float_t).mixed_t.result.success.float.zero.rhs.mixed.bool.true	coalesce_wrapper_mixed		Approved result wrapper auto-unpacks on success state for coalesce.
result.success.float.zero	mixed.int.zero					supported	deterministic_value	float_t	float.zero	true	coalesce.result(float_t).mixed_t.result.success.float.zero.rhs.mixed.int.zero	coalesce_wrapper_mixed		Approved result wrapper auto-unpacks on success state for coalesce.
result.success.float.zero	mixed.int.nonzero					supported	deterministic_value	float_t	float.zero	true	coalesce.result(float_t).mixed_t.result.success.float.zero.rhs.mixed.int.nonzero	coalesce_wrapper_mixed		Approved result wrapper auto-unpacks on success state for coalesce.
result.success.float.zero	mixed.float.zero					supported	deterministic_value	float_t	float.zero	true	coalesce.result(float_t).mixed_t.result.success.float.zero.rhs.mixed.float.zero	coalesce_wrapper_mixed		Approved result wrapper auto-unpacks on success state for coalesce.
result.success.float.zero	mixed.float.nonzero					supported	deterministic_value	float_t	float.zero	true	coalesce.result(float_t).mixed_t.result.success.float.zero.rhs.mixed.float.nonzero	coalesce_wrapper_mixed		Approved result wrapper auto-unpacks on success state for coalesce.
