lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result.failure	result_or_bool.sentinel.false					supported	throws			true	coalesce.reject.result(float_t).result_or_bool(float_t).result.failure.rhs.result_or_bool.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result.failure	result_or_bool.sentinel.true					supported	throws			true	coalesce.reject.result(float_t).result_or_bool(float_t).result.failure.rhs.result_or_bool.sentinel.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result.failure	result_or_bool.success.float.zero					supported	throws			true	coalesce.reject.result(float_t).result_or_bool(float_t).result.failure.rhs.result_or_bool.success.float.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result.failure	result_or_bool.success.float.nonzero					supported	throws			true	coalesce.reject.result(float_t).result_or_bool(float_t).result.failure.rhs.result_or_bool.success.float.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result.success.float.zero	result_or_bool.sentinel.false					supported	throws			true	coalesce.reject.result(float_t).result_or_bool(float_t).result.success.float.zero.rhs.result_or_bool.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result.success.float.zero	result_or_bool.sentinel.true					supported	throws			true	coalesce.reject.result(float_t).result_or_bool(float_t).result.success.float.zero.rhs.result_or_bool.sentinel.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result.success.float.zero	result_or_bool.success.float.zero					supported	throws			true	coalesce.reject.result(float_t).result_or_bool(float_t).result.success.float.zero.rhs.result_or_bool.success.float.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result.success.float.zero	result_or_bool.success.float.nonzero					supported	throws			true	coalesce.reject.result(float_t).result_or_bool(float_t).result.success.float.zero.rhs.result_or_bool.success.float.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result.success.float.nonzero	result_or_bool.sentinel.false					supported	throws			true	coalesce.reject.result(float_t).result_or_bool(float_t).result.success.float.nonzero.rhs.result_or_bool.sentinel.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result.success.float.nonzero	result_or_bool.sentinel.true					supported	throws			true	coalesce.reject.result(float_t).result_or_bool(float_t).result.success.float.nonzero.rhs.result_or_bool.sentinel.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result.success.float.nonzero	result_or_bool.success.float.zero					supported	throws			true	coalesce.reject.result(float_t).result_or_bool(float_t).result.success.float.nonzero.rhs.result_or_bool.success.float.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result.success.float.nonzero	result_or_bool.success.float.nonzero					supported	throws			true	coalesce.reject.result(float_t).result_or_bool(float_t).result.success.float.nonzero.rhs.result_or_bool.success.float.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
