lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	mixed.null					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.false.rhs.mixed.null	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	mixed.bool.false					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.false.rhs.mixed.bool.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	mixed.bool.true					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.false.rhs.mixed.bool.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	mixed.int.zero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.false.rhs.mixed.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	mixed.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.false.rhs.mixed.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	mixed.float.zero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.false.rhs.mixed.float.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	mixed.float.nonzero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.false.rhs.mixed.float.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	mixed.string.empty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.false.rhs.mixed.string.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	mixed.string.zero_string					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.false.rhs.mixed.string.zero_string	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	mixed.string.bool_false_literal					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.false.rhs.mixed.string.bool_false_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	mixed.string.bool_true_literal					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.false.rhs.mixed.string.bool_true_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	mixed.string.nonempty_nonzero_nonbool_literal					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.false.rhs.mixed.string.nonempty_nonzero_nonbool_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	mixed.hash.empty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.false.rhs.mixed.hash.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	mixed.hash.nonempty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.false.rhs.mixed.hash.nonempty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	mixed.null					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.true.rhs.mixed.null	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	mixed.bool.false					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.true.rhs.mixed.bool.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	mixed.bool.true					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.true.rhs.mixed.bool.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	mixed.int.zero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.true.rhs.mixed.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	mixed.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.true.rhs.mixed.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	mixed.float.zero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.true.rhs.mixed.float.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	mixed.float.nonzero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.true.rhs.mixed.float.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	mixed.string.empty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.true.rhs.mixed.string.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	mixed.string.zero_string					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.true.rhs.mixed.string.zero_string	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	mixed.string.bool_false_literal					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.true.rhs.mixed.string.bool_false_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	mixed.string.bool_true_literal					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.true.rhs.mixed.string.bool_true_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	mixed.string.nonempty_nonzero_nonbool_literal					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.true.rhs.mixed.string.nonempty_nonzero_nonbool_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	mixed.hash.empty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.true.rhs.mixed.hash.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	mixed.hash.nonempty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.sentinel.true.rhs.mixed.hash.nonempty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	mixed.null					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.false.rhs.mixed.null	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	mixed.bool.false					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.false.rhs.mixed.bool.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	mixed.bool.true					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.false.rhs.mixed.bool.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	mixed.int.zero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.false.rhs.mixed.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	mixed.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.false.rhs.mixed.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	mixed.float.zero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.false.rhs.mixed.float.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	mixed.float.nonzero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.false.rhs.mixed.float.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	mixed.string.empty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.false.rhs.mixed.string.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	mixed.string.zero_string					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.false.rhs.mixed.string.zero_string	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	mixed.string.bool_false_literal					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.false.rhs.mixed.string.bool_false_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	mixed.string.bool_true_literal					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.false.rhs.mixed.string.bool_true_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	mixed.string.nonempty_nonzero_nonbool_literal					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.false.rhs.mixed.string.nonempty_nonzero_nonbool_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	mixed.hash.empty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.false.rhs.mixed.hash.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	mixed.hash.nonempty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.false.rhs.mixed.hash.nonempty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	mixed.null					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.true.rhs.mixed.null	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	mixed.bool.false					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.true.rhs.mixed.bool.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	mixed.bool.true					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.true.rhs.mixed.bool.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	mixed.int.zero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.true.rhs.mixed.int.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	mixed.int.nonzero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.true.rhs.mixed.int.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	mixed.float.zero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.true.rhs.mixed.float.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	mixed.float.nonzero					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.true.rhs.mixed.float.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	mixed.string.empty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.true.rhs.mixed.string.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	mixed.string.zero_string					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.true.rhs.mixed.string.zero_string	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	mixed.string.bool_false_literal					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.true.rhs.mixed.string.bool_false_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	mixed.string.bool_true_literal					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.true.rhs.mixed.string.bool_true_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	mixed.string.nonempty_nonzero_nonbool_literal					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.true.rhs.mixed.string.nonempty_nonzero_nonbool_literal	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	mixed.hash.empty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.true.rhs.mixed.hash.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	mixed.hash.nonempty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).mixed_t.result_or_bool.success.bool.true.rhs.mixed.hash.nonempty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
