lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	nullable.empty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).nullable(bool_t).result_or_bool.sentinel.false.rhs.nullable.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	nullable.present.bool.false					supported	throws			true	coalesce.reject.result_or_bool(bool_t).nullable(bool_t).result_or_bool.sentinel.false.rhs.nullable.present.bool.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	nullable.present.bool.true					supported	throws			true	coalesce.reject.result_or_bool(bool_t).nullable(bool_t).result_or_bool.sentinel.false.rhs.nullable.present.bool.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	nullable.empty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).nullable(bool_t).result_or_bool.sentinel.true.rhs.nullable.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	nullable.present.bool.false					supported	throws			true	coalesce.reject.result_or_bool(bool_t).nullable(bool_t).result_or_bool.sentinel.true.rhs.nullable.present.bool.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	nullable.present.bool.true					supported	throws			true	coalesce.reject.result_or_bool(bool_t).nullable(bool_t).result_or_bool.sentinel.true.rhs.nullable.present.bool.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	nullable.empty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).nullable(bool_t).result_or_bool.success.bool.false.rhs.nullable.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	nullable.present.bool.false					supported	throws			true	coalesce.reject.result_or_bool(bool_t).nullable(bool_t).result_or_bool.success.bool.false.rhs.nullable.present.bool.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.false	nullable.present.bool.true					supported	throws			true	coalesce.reject.result_or_bool(bool_t).nullable(bool_t).result_or_bool.success.bool.false.rhs.nullable.present.bool.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	nullable.empty					supported	throws			true	coalesce.reject.result_or_bool(bool_t).nullable(bool_t).result_or_bool.success.bool.true.rhs.nullable.empty	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	nullable.present.bool.false					supported	throws			true	coalesce.reject.result_or_bool(bool_t).nullable(bool_t).result_or_bool.success.bool.true.rhs.nullable.present.bool.false	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.bool.true	nullable.present.bool.true					supported	throws			true	coalesce.reject.result_or_bool(bool_t).nullable(bool_t).result_or_bool.success.bool.true.rhs.nullable.present.bool.true	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
