lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	result.failure					supported	throws			true	coalesce.reject.result_or_bool(float_t).result(float_t).result_or_bool.sentinel.false.rhs.result.failure	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	result.success.float.zero					supported	throws			true	coalesce.reject.result_or_bool(float_t).result(float_t).result_or_bool.sentinel.false.rhs.result.success.float.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.false	result.success.float.nonzero					supported	throws			true	coalesce.reject.result_or_bool(float_t).result(float_t).result_or_bool.sentinel.false.rhs.result.success.float.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	result.failure					supported	throws			true	coalesce.reject.result_or_bool(float_t).result(float_t).result_or_bool.sentinel.true.rhs.result.failure	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	result.success.float.zero					supported	throws			true	coalesce.reject.result_or_bool(float_t).result(float_t).result_or_bool.sentinel.true.rhs.result.success.float.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.sentinel.true	result.success.float.nonzero					supported	throws			true	coalesce.reject.result_or_bool(float_t).result(float_t).result_or_bool.sentinel.true.rhs.result.success.float.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.float.zero	result.failure					supported	throws			true	coalesce.reject.result_or_bool(float_t).result(float_t).result_or_bool.success.float.zero.rhs.result.failure	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.float.zero	result.success.float.zero					supported	throws			true	coalesce.reject.result_or_bool(float_t).result(float_t).result_or_bool.success.float.zero.rhs.result.success.float.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.float.zero	result.success.float.nonzero					supported	throws			true	coalesce.reject.result_or_bool(float_t).result(float_t).result_or_bool.success.float.zero.rhs.result.success.float.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.float.nonzero	result.failure					supported	throws			true	coalesce.reject.result_or_bool(float_t).result(float_t).result_or_bool.success.float.nonzero.rhs.result.failure	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.float.nonzero	result.success.float.zero					supported	throws			true	coalesce.reject.result_or_bool(float_t).result(float_t).result_or_bool.success.float.nonzero.rhs.result.success.float.zero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
result_or_bool.success.float.nonzero	result.success.float.nonzero					supported	throws			true	coalesce.reject.result_or_bool(float_t).result(float_t).result_or_bool.success.float.nonzero.rhs.result.success.float.nonzero	coalesce_runtime_reject	coalesce_reject_result_or_bool	result_or_bool is not accepted by coalesce on either side.
