lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_false.sentinel.false	mixed.null					supported	deterministic_value	mixed_t	mixed.null	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.sentinel.false.rhs.mixed.null	runtime_success		Left side is in a fallback-triggering state; the selected fallback branch is mixed.null, which remains a valid selected mixed result domain.
result_or_false.sentinel.false	mixed.bool.false					supported	deterministic_value	bool_t	bool.false	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.sentinel.false.rhs.mixed.bool.false	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	mixed.bool.true					supported	deterministic_value	bool_t	bool.true	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.sentinel.false.rhs.mixed.bool.true	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	mixed.int.zero					supported	deterministic_value	int_t	int.zero	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.sentinel.false.rhs.mixed.int.zero	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	mixed.int.nonzero					supported	deterministic_value	int_t	int.nonzero	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.sentinel.false.rhs.mixed.int.nonzero	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	mixed.float.zero					supported	deterministic_value	float_t	float.zero	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.sentinel.false.rhs.mixed.float.zero	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	mixed.float.nonzero					supported	deterministic_value	float_t	float.nonzero	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.sentinel.false.rhs.mixed.float.nonzero	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	mixed.string.empty					supported	deterministic_value	string_t	string.empty	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.sentinel.false.rhs.mixed.string.empty	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	mixed.string.zero_string					supported	deterministic_value	string_t	string.zero_string	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.sentinel.false.rhs.mixed.string.zero_string	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	mixed.string.bool_false_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.sentinel.false.rhs.mixed.string.bool_false_literal	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	mixed.string.bool_true_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.sentinel.false.rhs.mixed.string.bool_true_literal	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	mixed.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.sentinel.false.rhs.mixed.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	mixed.hash.empty					supported	deterministic_value	mixed_t	mixed.hash.empty	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.sentinel.false.rhs.mixed.hash.empty	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.sentinel.false	mixed.hash.nonempty					supported	deterministic_value	mixed_t	mixed.hash.nonempty	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.sentinel.false.rhs.mixed.hash.nonempty	coalesce_wrapper_mixed		Left side is in a fallback-triggering state; coalesce selects the right usable value domain.
result_or_false.success.bool.false	mixed.null					supported	deterministic_value	bool_t	bool.false	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.success.bool.false.rhs.mixed.null	coalesce_wrapper_mixed		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.bool.false	mixed.bool.false					supported	deterministic_value	bool_t	bool.false	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.success.bool.false.rhs.mixed.bool.false	coalesce_wrapper_mixed		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.bool.false	mixed.bool.true					supported	deterministic_value	bool_t	bool.false	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.success.bool.false.rhs.mixed.bool.true	coalesce_wrapper_mixed		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.bool.false	mixed.int.zero					supported	deterministic_value	bool_t	bool.false	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.success.bool.false.rhs.mixed.int.zero	coalesce_wrapper_mixed		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.bool.false	mixed.int.nonzero					supported	deterministic_value	bool_t	bool.false	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.success.bool.false.rhs.mixed.int.nonzero	coalesce_wrapper_mixed		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.bool.false	mixed.float.zero					supported	deterministic_value	bool_t	bool.false	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.success.bool.false.rhs.mixed.float.zero	coalesce_wrapper_mixed		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.bool.false	mixed.float.nonzero					supported	deterministic_value	bool_t	bool.false	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.success.bool.false.rhs.mixed.float.nonzero	coalesce_wrapper_mixed		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.bool.false	mixed.string.empty					supported	deterministic_value	bool_t	bool.false	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.success.bool.false.rhs.mixed.string.empty	coalesce_wrapper_mixed		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.bool.false	mixed.string.zero_string					supported	deterministic_value	bool_t	bool.false	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.success.bool.false.rhs.mixed.string.zero_string	coalesce_wrapper_mixed		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
result_or_false.success.bool.false	mixed.string.bool_false_literal					supported	deterministic_value	bool_t	bool.false	true	coalesce.result_or_false(bool_t).mixed_t.result_or_false.success.bool.false.rhs.mixed.string.bool_false_literal	coalesce_wrapper_mixed		Approved result_or_false wrapper auto-unpacks on success state for coalesce.
