lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
string.empty	mixed.null					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.string_t.to.mixed.string.empty.rhs.mixed.null	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.empty	mixed.bool.false					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.string_t.to.mixed.string.empty.rhs.mixed.bool.false	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.empty	mixed.bool.true					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.string_t.to.mixed.string.empty.rhs.mixed.bool.true	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.empty	mixed.int.zero					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.string_t.to.mixed.string.empty.rhs.mixed.int.zero	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.empty	mixed.int.nonzero					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.string_t.to.mixed.string.empty.rhs.mixed.int.nonzero	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.empty	mixed.float.zero					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.string_t.to.mixed.string.empty.rhs.mixed.float.zero	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.empty	mixed.float.nonzero					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.string_t.to.mixed.string.empty.rhs.mixed.float.nonzero	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.empty	mixed.string.empty					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.string_t.to.mixed.string.empty.rhs.mixed.string.empty	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.empty	mixed.string.zero_string					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.string_t.to.mixed.string.empty.rhs.mixed.string.zero_string	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.empty	mixed.string.bool_false_literal					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.string_t.to.mixed.string.empty.rhs.mixed.string.bool_false_literal	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.empty	mixed.string.bool_true_literal					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.string_t.to.mixed.string.empty.rhs.mixed.string.bool_true_literal	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.empty	mixed.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.string_t.to.mixed.string.empty.rhs.mixed.string.nonempty_nonzero_nonbool_literal	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.empty	mixed.hash.empty					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.string_t.to.mixed.string.empty.rhs.mixed.hash.empty	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.empty	mixed.hash.nonempty					supported	deterministic_value	mixed_t	mixed.string.empty	true	coalesce.string_t.to.mixed.string.empty.rhs.mixed.hash.nonempty	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.zero_string	mixed.null					supported	deterministic_value	mixed_t	mixed.string.zero_string	true	coalesce.string_t.to.mixed.string.zero_string.rhs.mixed.null	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.zero_string	mixed.bool.false					supported	deterministic_value	mixed_t	mixed.string.zero_string	true	coalesce.string_t.to.mixed.string.zero_string.rhs.mixed.bool.false	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
string.zero_string	mixed.bool.true					supported	deterministic_value	mixed_t	mixed.string.zero_string	true	coalesce.string_t.to.mixed.string.zero_string.rhs.mixed.bool.true	runtime_success		Non-null left scalar preserves its value and is normalized into the mixed carrier.
