lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
string.empty	nullable.empty					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.nullable(string_t).string.empty.rhs.nullable.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.empty	nullable.present.string.empty					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.nullable(string_t).string.empty.rhs.nullable.present.string.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.empty	nullable.present.string.zero_string					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.nullable(string_t).string.empty.rhs.nullable.present.string.zero_string	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.empty	nullable.present.string.bool_false_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.nullable(string_t).string.empty.rhs.nullable.present.string.bool_false_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.empty	nullable.present.string.bool_true_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.nullable(string_t).string.empty.rhs.nullable.present.string.bool_true_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.empty	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.nullable(string_t).string.empty.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	nullable.empty					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.nullable(string_t).string.zero_string.rhs.nullable.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	nullable.present.string.empty					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.nullable(string_t).string.zero_string.rhs.nullable.present.string.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	nullable.present.string.zero_string					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.nullable(string_t).string.zero_string.rhs.nullable.present.string.zero_string	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	nullable.present.string.bool_false_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.nullable(string_t).string.zero_string.rhs.nullable.present.string.bool_false_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	nullable.present.string.bool_true_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.nullable(string_t).string.zero_string.rhs.nullable.present.string.bool_true_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.nullable(string_t).string.zero_string.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_false_literal	nullable.empty					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.string_t.nullable(string_t).string.bool_false_literal.rhs.nullable.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_false_literal	nullable.present.string.empty					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.string_t.nullable(string_t).string.bool_false_literal.rhs.nullable.present.string.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_false_literal	nullable.present.string.zero_string					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.string_t.nullable(string_t).string.bool_false_literal.rhs.nullable.present.string.zero_string	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_false_literal	nullable.present.string.bool_false_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.string_t.nullable(string_t).string.bool_false_literal.rhs.nullable.present.string.bool_false_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_false_literal	nullable.present.string.bool_true_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.string_t.nullable(string_t).string.bool_false_literal.rhs.nullable.present.string.bool_true_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_false_literal	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.string_t.nullable(string_t).string.bool_false_literal.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_true_literal	nullable.empty					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.string_t.nullable(string_t).string.bool_true_literal.rhs.nullable.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_true_literal	nullable.present.string.empty					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.string_t.nullable(string_t).string.bool_true_literal.rhs.nullable.present.string.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_true_literal	nullable.present.string.zero_string					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.string_t.nullable(string_t).string.bool_true_literal.rhs.nullable.present.string.zero_string	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_true_literal	nullable.present.string.bool_false_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.string_t.nullable(string_t).string.bool_true_literal.rhs.nullable.present.string.bool_false_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_true_literal	nullable.present.string.bool_true_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.string_t.nullable(string_t).string.bool_true_literal.rhs.nullable.present.string.bool_true_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_true_literal	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.string_t.nullable(string_t).string.bool_true_literal.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.nonempty_nonzero_nonbool_literal	nullable.empty					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.string_t.nullable(string_t).string.nonempty_nonzero_nonbool_literal.rhs.nullable.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.nonempty_nonzero_nonbool_literal	nullable.present.string.empty					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.string_t.nullable(string_t).string.nonempty_nonzero_nonbool_literal.rhs.nullable.present.string.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.nonempty_nonzero_nonbool_literal	nullable.present.string.zero_string					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.string_t.nullable(string_t).string.nonempty_nonzero_nonbool_literal.rhs.nullable.present.string.zero_string	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.nonempty_nonzero_nonbool_literal	nullable.present.string.bool_false_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.string_t.nullable(string_t).string.nonempty_nonzero_nonbool_literal.rhs.nullable.present.string.bool_false_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.nonempty_nonzero_nonbool_literal	nullable.present.string.bool_true_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.string_t.nullable(string_t).string.nonempty_nonzero_nonbool_literal.rhs.nullable.present.string.bool_true_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.nonempty_nonzero_nonbool_literal	nullable.present.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.string_t.nullable(string_t).string.nonempty_nonzero_nonbool_literal.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
