lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
string.empty	result_or_false.sentinel.false					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.result_or_false(string_t).string.empty.rhs.result_or_false.sentinel.false	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.empty	result_or_false.success.string.empty					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.result_or_false(string_t).string.empty.rhs.result_or_false.success.string.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.empty	result_or_false.success.string.zero_string					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.result_or_false(string_t).string.empty.rhs.result_or_false.success.string.zero_string	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.empty	result_or_false.success.string.bool_false_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.result_or_false(string_t).string.empty.rhs.result_or_false.success.string.bool_false_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.empty	result_or_false.success.string.bool_true_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.result_or_false(string_t).string.empty.rhs.result_or_false.success.string.bool_true_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.empty	result_or_false.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.result_or_false(string_t).string.empty.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	result_or_false.sentinel.false					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.result_or_false(string_t).string.zero_string.rhs.result_or_false.sentinel.false	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	result_or_false.success.string.empty					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.result_or_false(string_t).string.zero_string.rhs.result_or_false.success.string.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	result_or_false.success.string.zero_string					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.result_or_false(string_t).string.zero_string.rhs.result_or_false.success.string.zero_string	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	result_or_false.success.string.bool_false_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.result_or_false(string_t).string.zero_string.rhs.result_or_false.success.string.bool_false_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	result_or_false.success.string.bool_true_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.result_or_false(string_t).string.zero_string.rhs.result_or_false.success.string.bool_true_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	result_or_false.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.result_or_false(string_t).string.zero_string.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_false_literal	result_or_false.sentinel.false					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.string_t.result_or_false(string_t).string.bool_false_literal.rhs.result_or_false.sentinel.false	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_false_literal	result_or_false.success.string.empty					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.string_t.result_or_false(string_t).string.bool_false_literal.rhs.result_or_false.success.string.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_false_literal	result_or_false.success.string.zero_string					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.string_t.result_or_false(string_t).string.bool_false_literal.rhs.result_or_false.success.string.zero_string	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_false_literal	result_or_false.success.string.bool_false_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.string_t.result_or_false(string_t).string.bool_false_literal.rhs.result_or_false.success.string.bool_false_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_false_literal	result_or_false.success.string.bool_true_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.string_t.result_or_false(string_t).string.bool_false_literal.rhs.result_or_false.success.string.bool_true_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_false_literal	result_or_false.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.bool_false_literal	true	coalesce.string_t.result_or_false(string_t).string.bool_false_literal.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_true_literal	result_or_false.sentinel.false					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.string_t.result_or_false(string_t).string.bool_true_literal.rhs.result_or_false.sentinel.false	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_true_literal	result_or_false.success.string.empty					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.string_t.result_or_false(string_t).string.bool_true_literal.rhs.result_or_false.success.string.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_true_literal	result_or_false.success.string.zero_string					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.string_t.result_or_false(string_t).string.bool_true_literal.rhs.result_or_false.success.string.zero_string	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_true_literal	result_or_false.success.string.bool_false_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.string_t.result_or_false(string_t).string.bool_true_literal.rhs.result_or_false.success.string.bool_false_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_true_literal	result_or_false.success.string.bool_true_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.string_t.result_or_false(string_t).string.bool_true_literal.rhs.result_or_false.success.string.bool_true_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.bool_true_literal	result_or_false.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.bool_true_literal	true	coalesce.string_t.result_or_false(string_t).string.bool_true_literal.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.nonempty_nonzero_nonbool_literal	result_or_false.sentinel.false					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.string_t.result_or_false(string_t).string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.sentinel.false	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.nonempty_nonzero_nonbool_literal	result_or_false.success.string.empty					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.string_t.result_or_false(string_t).string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.success.string.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.nonempty_nonzero_nonbool_literal	result_or_false.success.string.zero_string					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.string_t.result_or_false(string_t).string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.success.string.zero_string	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.nonempty_nonzero_nonbool_literal	result_or_false.success.string.bool_false_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.string_t.result_or_false(string_t).string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.success.string.bool_false_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.nonempty_nonzero_nonbool_literal	result_or_false.success.string.bool_true_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.string_t.result_or_false(string_t).string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.success.string.bool_true_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.nonempty_nonzero_nonbool_literal	result_or_false.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	coalesce.string_t.result_or_false(string_t).string.nonempty_nonzero_nonbool_literal.rhs.result_or_false.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
