lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
string.empty	result.failure					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.result(string_t).string.empty.rhs.result.failure	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.empty	result.success.string.empty					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.result(string_t).string.empty.rhs.result.success.string.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.empty	result.success.string.zero_string					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.result(string_t).string.empty.rhs.result.success.string.zero_string	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.empty	result.success.string.bool_false_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.result(string_t).string.empty.rhs.result.success.string.bool_false_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.empty	result.success.string.bool_true_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.result(string_t).string.empty.rhs.result.success.string.bool_true_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.empty	result.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.empty	true	coalesce.string_t.result(string_t).string.empty.rhs.result.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	result.failure					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.result(string_t).string.zero_string.rhs.result.failure	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	result.success.string.empty					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.result(string_t).string.zero_string.rhs.result.success.string.empty	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	result.success.string.zero_string					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.result(string_t).string.zero_string.rhs.result.success.string.zero_string	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	result.success.string.bool_false_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.result(string_t).string.zero_string.rhs.result.success.string.bool_false_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	result.success.string.bool_true_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.result(string_t).string.zero_string.rhs.result.success.string.bool_true_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
string.zero_string	result.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	string_t	string.zero_string	true	coalesce.string_t.result(string_t).string.zero_string.rhs.result.success.string.nonempty_nonzero_nonbool_literal	coalesce_wrapper		Non-wrapper left side is always selected by coalesce.
