lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	mixed.null					supported	deterministic_value	mixed_t	mixed.null	true	elvis.mixed_t.mixed.null.rhs.mixed.null	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.null	mixed.bool.false					supported	deterministic_value	mixed_t	mixed.bool.false	true	elvis.mixed_t.mixed.null.rhs.mixed.bool.false	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.null	mixed.bool.true					supported	deterministic_value	mixed_t	mixed.bool.true	true	elvis.mixed_t.mixed.null.rhs.mixed.bool.true	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.null	mixed.int.zero					supported	deterministic_value	mixed_t	mixed.int.zero	true	elvis.mixed_t.mixed.null.rhs.mixed.int.zero	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.null	mixed.int.nonzero					supported	deterministic_value	mixed_t	mixed.int.nonzero	true	elvis.mixed_t.mixed.null.rhs.mixed.int.nonzero	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.null	mixed.float.zero					supported	deterministic_value	mixed_t	mixed.float.zero	true	elvis.mixed_t.mixed.null.rhs.mixed.float.zero	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.null	mixed.float.nonzero					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	elvis.mixed_t.mixed.null.rhs.mixed.float.nonzero	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.null	mixed.string.empty					supported	deterministic_value	mixed_t	mixed.string.empty	true	elvis.mixed_t.mixed.null.rhs.mixed.string.empty	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.null	mixed.string.zero_string					supported	deterministic_value	mixed_t	mixed.string.zero_string	true	elvis.mixed_t.mixed.null.rhs.mixed.string.zero_string	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.null	mixed.string.bool_false_literal					supported	deterministic_value	mixed_t	mixed.string.bool_false_literal	true	elvis.mixed_t.mixed.null.rhs.mixed.string.bool_false_literal	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.null	mixed.string.bool_true_literal					supported	deterministic_value	mixed_t	mixed.string.bool_true_literal	true	elvis.mixed_t.mixed.null.rhs.mixed.string.bool_true_literal	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.null	mixed.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	mixed_t	mixed.string.nonempty_nonzero_nonbool_literal	true	elvis.mixed_t.mixed.null.rhs.mixed.string.nonempty_nonzero_nonbool_literal	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.null	mixed.hash.empty					supported	deterministic_value	mixed_t	mixed.hash.empty	true	elvis.mixed_t.mixed.null.rhs.mixed.hash.empty	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.null	mixed.hash.nonempty					supported	deterministic_value	mixed_t	mixed.hash.nonempty	true	elvis.mixed_t.mixed.null.rhs.mixed.hash.nonempty	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.bool.false	mixed.null					supported	deterministic_value	mixed_t	mixed.null	true	elvis.mixed_t.mixed.bool.false.rhs.mixed.null	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.bool.false	mixed.bool.false					supported	deterministic_value	mixed_t	mixed.bool.false	true	elvis.mixed_t.mixed.bool.false.rhs.mixed.bool.false	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.bool.false	mixed.bool.true					supported	deterministic_value	mixed_t	mixed.bool.true	true	elvis.mixed_t.mixed.bool.false.rhs.mixed.bool.true	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.bool.false	mixed.int.zero					supported	deterministic_value	mixed_t	mixed.int.zero	true	elvis.mixed_t.mixed.bool.false.rhs.mixed.int.zero	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.bool.false	mixed.int.nonzero					supported	deterministic_value	mixed_t	mixed.int.nonzero	true	elvis.mixed_t.mixed.bool.false.rhs.mixed.int.nonzero	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.bool.false	mixed.float.zero					supported	deterministic_value	mixed_t	mixed.float.zero	true	elvis.mixed_t.mixed.bool.false.rhs.mixed.float.zero	runtime_success		Falsy mixed runtime kind selects the fallback value.
mixed.bool.false	mixed.float.nonzero					supported	deterministic_value	mixed_t	mixed.float.nonzero	true	elvis.mixed_t.mixed.bool.false.rhs.mixed.float.nonzero	runtime_success		Falsy mixed runtime kind selects the fallback value.
