lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
nullable.empty	nullable.empty					compile_time_rejected				true	elvis.nullable<string_t>.nullable.empty.rhs.nullable.empty	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
nullable.empty	nullable.present.string.empty					compile_time_rejected				true	elvis.nullable<string_t>.nullable.empty.rhs.nullable.present.string.empty	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
nullable.empty	nullable.present.string.zero_string					compile_time_rejected				true	elvis.nullable<string_t>.nullable.empty.rhs.nullable.present.string.zero_string	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
nullable.empty	nullable.present.string.bool_false_literal					compile_time_rejected				true	elvis.nullable<string_t>.nullable.empty.rhs.nullable.present.string.bool_false_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
nullable.empty	nullable.present.string.bool_true_literal					compile_time_rejected				true	elvis.nullable<string_t>.nullable.empty.rhs.nullable.present.string.bool_true_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
nullable.empty	nullable.present.string.nonempty_nonzero_nonbool_literal					compile_time_rejected				true	elvis.nullable<string_t>.nullable.empty.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
nullable.present.string.empty	nullable.empty					compile_time_rejected				true	elvis.nullable<string_t>.nullable.present.string.empty.rhs.nullable.empty	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
nullable.present.string.empty	nullable.present.string.empty					compile_time_rejected				true	elvis.nullable<string_t>.nullable.present.string.empty.rhs.nullable.present.string.empty	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
nullable.present.string.empty	nullable.present.string.zero_string					compile_time_rejected				true	elvis.nullable<string_t>.nullable.present.string.empty.rhs.nullable.present.string.zero_string	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
nullable.present.string.empty	nullable.present.string.bool_false_literal					compile_time_rejected				true	elvis.nullable<string_t>.nullable.present.string.empty.rhs.nullable.present.string.bool_false_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
nullable.present.string.empty	nullable.present.string.bool_true_literal					compile_time_rejected				true	elvis.nullable<string_t>.nullable.present.string.empty.rhs.nullable.present.string.bool_true_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
nullable.present.string.empty	nullable.present.string.nonempty_nonzero_nonbool_literal					compile_time_rejected				true	elvis.nullable<string_t>.nullable.present.string.empty.rhs.nullable.present.string.nonempty_nonzero_nonbool_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
nullable.present.string.zero_string	nullable.empty					compile_time_rejected				true	elvis.nullable<string_t>.nullable.present.string.zero_string.rhs.nullable.empty	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
nullable.present.string.zero_string	nullable.present.string.empty					compile_time_rejected				true	elvis.nullable<string_t>.nullable.present.string.zero_string.rhs.nullable.present.string.empty	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
