lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	result_or_bool.sentinel.false					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.sentinel.false	true	elvis.result_or_bool<float_t>.result_or_bool.sentinel.false.rhs.result_or_bool.sentinel.false	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.sentinel.false	result_or_bool.sentinel.true					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.sentinel.true	true	elvis.result_or_bool<float_t>.result_or_bool.sentinel.false.rhs.result_or_bool.sentinel.true	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.sentinel.false	result_or_bool.success.float.zero					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.success.float.zero	true	elvis.result_or_bool<float_t>.result_or_bool.sentinel.false.rhs.result_or_bool.success.float.zero	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.sentinel.false	result_or_bool.success.float.nonzero					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.success.float.nonzero	true	elvis.result_or_bool<float_t>.result_or_bool.sentinel.false.rhs.result_or_bool.success.float.nonzero	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.sentinel.true	result_or_bool.sentinel.false					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.sentinel.true	true	elvis.result_or_bool<float_t>.result_or_bool.sentinel.true.rhs.result_or_bool.sentinel.false	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
result_or_bool.sentinel.true	result_or_bool.sentinel.true					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.sentinel.true	true	elvis.result_or_bool<float_t>.result_or_bool.sentinel.true.rhs.result_or_bool.sentinel.true	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
result_or_bool.sentinel.true	result_or_bool.success.float.zero					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.sentinel.true	true	elvis.result_or_bool<float_t>.result_or_bool.sentinel.true.rhs.result_or_bool.success.float.zero	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
result_or_bool.sentinel.true	result_or_bool.success.float.nonzero					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.sentinel.true	true	elvis.result_or_bool<float_t>.result_or_bool.sentinel.true.rhs.result_or_bool.success.float.nonzero	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
result_or_bool.success.float.zero	result_or_bool.sentinel.false					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.sentinel.false	true	elvis.result_or_bool<float_t>.result_or_bool.success.float.zero.rhs.result_or_bool.sentinel.false	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.success.float.zero	result_or_bool.sentinel.true					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.sentinel.true	true	elvis.result_or_bool<float_t>.result_or_bool.success.float.zero.rhs.result_or_bool.sentinel.true	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.success.float.zero	result_or_bool.success.float.zero					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.success.float.zero	true	elvis.result_or_bool<float_t>.result_or_bool.success.float.zero.rhs.result_or_bool.success.float.zero	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.success.float.zero	result_or_bool.success.float.nonzero					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.success.float.nonzero	true	elvis.result_or_bool<float_t>.result_or_bool.success.float.zero.rhs.result_or_bool.success.float.nonzero	runtime_success		Falsy wrapper-aware elvis condition selects the fallback wrapper value.
result_or_bool.success.float.nonzero	result_or_bool.sentinel.false					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.success.float.nonzero	true	elvis.result_or_bool<float_t>.result_or_bool.success.float.nonzero.rhs.result_or_bool.sentinel.false	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
result_or_bool.success.float.nonzero	result_or_bool.sentinel.true					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.success.float.nonzero	true	elvis.result_or_bool<float_t>.result_or_bool.success.float.nonzero.rhs.result_or_bool.sentinel.true	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
result_or_bool.success.float.nonzero	result_or_bool.success.float.zero					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.success.float.nonzero	true	elvis.result_or_bool<float_t>.result_or_bool.success.float.nonzero.rhs.result_or_bool.success.float.zero	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
result_or_bool.success.float.nonzero	result_or_bool.success.float.nonzero					supported	deterministic_value	result_or_bool<float_t>	result_or_bool.success.float.nonzero	true	elvis.result_or_bool<float_t>.result_or_bool.success.float.nonzero.rhs.result_or_bool.success.float.nonzero	runtime_success		Truthy wrapper-aware elvis condition preserves the left wrapper value.
