lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result.failure	result.failure					compile_time_rejected				true	elvis.result<string_t>.result.failure.rhs.result.failure	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.failure	result.success.string.empty					compile_time_rejected				true	elvis.result<string_t>.result.failure.rhs.result.success.string.empty	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.failure	result.success.string.zero_string					compile_time_rejected				true	elvis.result<string_t>.result.failure.rhs.result.success.string.zero_string	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.failure	result.success.string.bool_false_literal					compile_time_rejected				true	elvis.result<string_t>.result.failure.rhs.result.success.string.bool_false_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.failure	result.success.string.bool_true_literal					compile_time_rejected				true	elvis.result<string_t>.result.failure.rhs.result.success.string.bool_true_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.failure	result.success.string.nonempty_nonzero_nonbool_literal					compile_time_rejected				true	elvis.result<string_t>.result.failure.rhs.result.success.string.nonempty_nonzero_nonbool_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.success.string.empty	result.failure					compile_time_rejected				true	elvis.result<string_t>.result.success.string.empty.rhs.result.failure	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.success.string.empty	result.success.string.empty					compile_time_rejected				true	elvis.result<string_t>.result.success.string.empty.rhs.result.success.string.empty	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.success.string.empty	result.success.string.zero_string					compile_time_rejected				true	elvis.result<string_t>.result.success.string.empty.rhs.result.success.string.zero_string	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.success.string.empty	result.success.string.bool_false_literal					compile_time_rejected				true	elvis.result<string_t>.result.success.string.empty.rhs.result.success.string.bool_false_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
result.success.string.empty	result.success.string.bool_true_literal					compile_time_rejected				true	elvis.result<string_t>.result.success.string.empty.rhs.result.success.string.bool_true_literal	compile_fail	unsupported_elvis_lhs_type	This working elvis slice accepts only non-wrapper bool/int/float and mixed_t left operands.
