lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
float.zero	string.empty	string.empty				supported	deterministic_value	string_t	string.empty	true	ternary.float_t.float.zero.then.string.empty.else.string.empty	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.empty	string.zero_string				supported	deterministic_value	string_t	string.zero_string	true	ternary.float_t.float.zero.then.string.empty.else.string.zero_string	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.empty	string.bool_false_literal				supported	deterministic_value	string_t	string.bool_false_literal	true	ternary.float_t.float.zero.then.string.empty.else.string.bool_false_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.empty	string.bool_true_literal				supported	deterministic_value	string_t	string.bool_true_literal	true	ternary.float_t.float.zero.then.string.empty.else.string.bool_true_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.empty	string.nonempty_nonzero_nonbool_literal				supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	ternary.float_t.float.zero.then.string.empty.else.string.nonempty_nonzero_nonbool_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.zero_string	string.empty				supported	deterministic_value	string_t	string.empty	true	ternary.float_t.float.zero.then.string.zero_string.else.string.empty	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.zero_string	string.zero_string				supported	deterministic_value	string_t	string.zero_string	true	ternary.float_t.float.zero.then.string.zero_string.else.string.zero_string	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.zero_string	string.bool_false_literal				supported	deterministic_value	string_t	string.bool_false_literal	true	ternary.float_t.float.zero.then.string.zero_string.else.string.bool_false_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.zero_string	string.bool_true_literal				supported	deterministic_value	string_t	string.bool_true_literal	true	ternary.float_t.float.zero.then.string.zero_string.else.string.bool_true_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.zero_string	string.nonempty_nonzero_nonbool_literal				supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	ternary.float_t.float.zero.then.string.zero_string.else.string.nonempty_nonzero_nonbool_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.bool_false_literal	string.empty				supported	deterministic_value	string_t	string.empty	true	ternary.float_t.float.zero.then.string.bool_false_literal.else.string.empty	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.bool_false_literal	string.zero_string				supported	deterministic_value	string_t	string.zero_string	true	ternary.float_t.float.zero.then.string.bool_false_literal.else.string.zero_string	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.bool_false_literal	string.bool_false_literal				supported	deterministic_value	string_t	string.bool_false_literal	true	ternary.float_t.float.zero.then.string.bool_false_literal.else.string.bool_false_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.bool_false_literal	string.bool_true_literal				supported	deterministic_value	string_t	string.bool_true_literal	true	ternary.float_t.float.zero.then.string.bool_false_literal.else.string.bool_true_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.bool_false_literal	string.nonempty_nonzero_nonbool_literal				supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	ternary.float_t.float.zero.then.string.bool_false_literal.else.string.nonempty_nonzero_nonbool_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.bool_true_literal	string.empty				supported	deterministic_value	string_t	string.empty	true	ternary.float_t.float.zero.then.string.bool_true_literal.else.string.empty	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.bool_true_literal	string.zero_string				supported	deterministic_value	string_t	string.zero_string	true	ternary.float_t.float.zero.then.string.bool_true_literal.else.string.zero_string	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.bool_true_literal	string.bool_false_literal				supported	deterministic_value	string_t	string.bool_false_literal	true	ternary.float_t.float.zero.then.string.bool_true_literal.else.string.bool_false_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.bool_true_literal	string.bool_true_literal				supported	deterministic_value	string_t	string.bool_true_literal	true	ternary.float_t.float.zero.then.string.bool_true_literal.else.string.bool_true_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.bool_true_literal	string.nonempty_nonzero_nonbool_literal				supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	ternary.float_t.float.zero.then.string.bool_true_literal.else.string.nonempty_nonzero_nonbool_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.nonempty_nonzero_nonbool_literal	string.empty				supported	deterministic_value	string_t	string.empty	true	ternary.float_t.float.zero.then.string.nonempty_nonzero_nonbool_literal.else.string.empty	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.nonempty_nonzero_nonbool_literal	string.zero_string				supported	deterministic_value	string_t	string.zero_string	true	ternary.float_t.float.zero.then.string.nonempty_nonzero_nonbool_literal.else.string.zero_string	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.nonempty_nonzero_nonbool_literal	string.bool_false_literal				supported	deterministic_value	string_t	string.bool_false_literal	true	ternary.float_t.float.zero.then.string.nonempty_nonzero_nonbool_literal.else.string.bool_false_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.nonempty_nonzero_nonbool_literal	string.bool_true_literal				supported	deterministic_value	string_t	string.bool_true_literal	true	ternary.float_t.float.zero.then.string.nonempty_nonzero_nonbool_literal.else.string.bool_true_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.zero	string.nonempty_nonzero_nonbool_literal	string.nonempty_nonzero_nonbool_literal				supported	deterministic_value	string_t	string.nonempty_nonzero_nonbool_literal	true	ternary.float_t.float.zero.then.string.nonempty_nonzero_nonbool_literal.else.string.nonempty_nonzero_nonbool_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.nonzero	string.empty	string.empty				supported	deterministic_value	string_t	string.empty	true	ternary.float_t.float.nonzero.then.string.empty.else.string.empty	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.nonzero	string.empty	string.zero_string				supported	deterministic_value	string_t	string.empty	true	ternary.float_t.float.nonzero.then.string.empty.else.string.zero_string	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.nonzero	string.empty	string.bool_false_literal				supported	deterministic_value	string_t	string.empty	true	ternary.float_t.float.nonzero.then.string.empty.else.string.bool_false_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.nonzero	string.empty	string.bool_true_literal				supported	deterministic_value	string_t	string.empty	true	ternary.float_t.float.nonzero.then.string.empty.else.string.bool_true_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.nonzero	string.empty	string.nonempty_nonzero_nonbool_literal				supported	deterministic_value	string_t	string.empty	true	ternary.float_t.float.nonzero.then.string.empty.else.string.nonempty_nonzero_nonbool_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.nonzero	string.zero_string	string.empty				supported	deterministic_value	string_t	string.zero_string	true	ternary.float_t.float.nonzero.then.string.zero_string.else.string.empty	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.nonzero	string.zero_string	string.zero_string				supported	deterministic_value	string_t	string.zero_string	true	ternary.float_t.float.nonzero.then.string.zero_string.else.string.zero_string	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.nonzero	string.zero_string	string.bool_false_literal				supported	deterministic_value	string_t	string.zero_string	true	ternary.float_t.float.nonzero.then.string.zero_string.else.string.bool_false_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.nonzero	string.zero_string	string.bool_true_literal				supported	deterministic_value	string_t	string.zero_string	true	ternary.float_t.float.nonzero.then.string.zero_string.else.string.bool_true_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.nonzero	string.zero_string	string.nonempty_nonzero_nonbool_literal				supported	deterministic_value	string_t	string.zero_string	true	ternary.float_t.float.nonzero.then.string.zero_string.else.string.nonempty_nonzero_nonbool_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.nonzero	string.bool_false_literal	string.empty				supported	deterministic_value	string_t	string.bool_false_literal	true	ternary.float_t.float.nonzero.then.string.bool_false_literal.else.string.empty	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
float.nonzero	string.bool_false_literal	string.zero_string				supported	deterministic_value	string_t	string.bool_false_literal	true	ternary.float_t.float.nonzero.then.string.bool_false_literal.else.string.zero_string	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
