lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
int.zero	mixed.null	mixed.null				supported	deterministic_value	mixed_t	mixed.null	true	ternary.int_t.int.zero.then.mixed.null.else.mixed.null	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
int.zero	mixed.null	mixed.bool.false				supported	deterministic_value	mixed_t	mixed.bool.false	true	ternary.int_t.int.zero.then.mixed.null.else.mixed.bool.false	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
int.zero	mixed.null	mixed.bool.true				supported	deterministic_value	mixed_t	mixed.bool.true	true	ternary.int_t.int.zero.then.mixed.null.else.mixed.bool.true	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
int.zero	mixed.null	mixed.int.zero				supported	deterministic_value	mixed_t	mixed.int.zero	true	ternary.int_t.int.zero.then.mixed.null.else.mixed.int.zero	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
int.zero	mixed.null	mixed.int.nonzero				supported	deterministic_value	mixed_t	mixed.int.nonzero	true	ternary.int_t.int.zero.then.mixed.null.else.mixed.int.nonzero	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
int.zero	mixed.null	mixed.float.zero				supported	deterministic_value	mixed_t	mixed.float.zero	true	ternary.int_t.int.zero.then.mixed.null.else.mixed.float.zero	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
int.zero	mixed.null	mixed.float.nonzero				supported	deterministic_value	mixed_t	mixed.float.nonzero	true	ternary.int_t.int.zero.then.mixed.null.else.mixed.float.nonzero	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
int.zero	mixed.null	mixed.string.empty				supported	deterministic_value	mixed_t	mixed.string.empty	true	ternary.int_t.int.zero.then.mixed.null.else.mixed.string.empty	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
int.zero	mixed.null	mixed.string.zero_string				supported	deterministic_value	mixed_t	mixed.string.zero_string	true	ternary.int_t.int.zero.then.mixed.null.else.mixed.string.zero_string	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
int.zero	mixed.null	mixed.string.bool_false_literal				supported	deterministic_value	mixed_t	mixed.string.bool_false_literal	true	ternary.int_t.int.zero.then.mixed.null.else.mixed.string.bool_false_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
int.zero	mixed.null	mixed.string.bool_true_literal				supported	deterministic_value	mixed_t	mixed.string.bool_true_literal	true	ternary.int_t.int.zero.then.mixed.null.else.mixed.string.bool_true_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
int.zero	mixed.null	mixed.string.nonempty_nonzero_nonbool_literal				supported	deterministic_value	mixed_t	mixed.string.nonempty_nonzero_nonbool_literal	true	ternary.int_t.int.zero.then.mixed.null.else.mixed.string.nonempty_nonzero_nonbool_literal	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
int.zero	mixed.null	mixed.hash.empty				supported	deterministic_value	mixed_t	mixed.hash.empty	true	ternary.int_t.int.zero.then.mixed.null.else.mixed.hash.empty	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
int.zero	mixed.null	mixed.hash.nonempty				supported	deterministic_value	mixed_t	mixed.hash.nonempty	true	ternary.int_t.int.zero.then.mixed.null.else.mixed.hash.nonempty	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
int.zero	mixed.bool.false	mixed.null				supported	deterministic_value	mixed_t	mixed.null	true	ternary.int_t.int.zero.then.mixed.bool.false.else.mixed.null	runtime_success		Ternary uses the condition profile truthiness and then selects the matching branch.
