lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	bool.false	bool.false				supported	throws	bool_t	bool.false	true	ternary.mixed_t.mixed.null.then.bool.false.else.bool.false	runtime_throw	invalid_condition_type	Ternary first evaluates condition truthiness; unsupported mixed runtime kinds throw before branch selection.
mixed.null	bool.false	bool.true				supported	throws	bool_t	bool.false	true	ternary.mixed_t.mixed.null.then.bool.false.else.bool.true	runtime_throw	invalid_condition_type	Ternary first evaluates condition truthiness; unsupported mixed runtime kinds throw before branch selection.
mixed.null	bool.true	bool.false				supported	throws	bool_t	bool.true	true	ternary.mixed_t.mixed.null.then.bool.true.else.bool.false	runtime_throw	invalid_condition_type	Ternary first evaluates condition truthiness; unsupported mixed runtime kinds throw before branch selection.
mixed.null	bool.true	bool.true				supported	throws	bool_t	bool.true	true	ternary.mixed_t.mixed.null.then.bool.true.else.bool.true	runtime_throw	invalid_condition_type	Ternary first evaluates condition truthiness; unsupported mixed runtime kinds throw before branch selection.
mixed.bool.false	bool.false	bool.false				supported	deterministic_value	bool_t	bool.false	true	ternary.mixed_t.mixed.bool.false.then.bool.false.else.bool.false	runtime_success		Ternary uses the allowed mixed runtime kind truthiness and then selects the matching branch.
mixed.bool.false	bool.false	bool.true				supported	deterministic_value	bool_t	bool.true	true	ternary.mixed_t.mixed.bool.false.then.bool.false.else.bool.true	runtime_success		Ternary uses the allowed mixed runtime kind truthiness and then selects the matching branch.
mixed.bool.false	bool.true	bool.false				supported	deterministic_value	bool_t	bool.false	true	ternary.mixed_t.mixed.bool.false.then.bool.true.else.bool.false	runtime_success		Ternary uses the allowed mixed runtime kind truthiness and then selects the matching branch.
mixed.bool.false	bool.true	bool.true				supported	deterministic_value	bool_t	bool.true	true	ternary.mixed_t.mixed.bool.false.then.bool.true.else.bool.true	runtime_success		Ternary uses the allowed mixed runtime kind truthiness and then selects the matching branch.
mixed.bool.true	bool.false	bool.false				supported	deterministic_value	bool_t	bool.false	true	ternary.mixed_t.mixed.bool.true.then.bool.false.else.bool.false	runtime_success		Ternary uses the allowed mixed runtime kind truthiness and then selects the matching branch.
mixed.bool.true	bool.false	bool.true				supported	deterministic_value	bool_t	bool.false	true	ternary.mixed_t.mixed.bool.true.then.bool.false.else.bool.true	runtime_success		Ternary uses the allowed mixed runtime kind truthiness and then selects the matching branch.
mixed.bool.true	bool.true	bool.false				supported	deterministic_value	bool_t	bool.true	true	ternary.mixed_t.mixed.bool.true.then.bool.true.else.bool.false	runtime_success		Ternary uses the allowed mixed runtime kind truthiness and then selects the matching branch.
mixed.bool.true	bool.true	bool.true				supported	deterministic_value	bool_t	bool.true	true	ternary.mixed_t.mixed.bool.true.then.bool.true.else.bool.true	runtime_success		Ternary uses the allowed mixed runtime kind truthiness and then selects the matching branch.
mixed.int.zero	bool.false	bool.false				supported	deterministic_value	bool_t	bool.false	true	ternary.mixed_t.mixed.int.zero.then.bool.false.else.bool.false	runtime_success		Ternary uses the allowed mixed runtime kind truthiness and then selects the matching branch.
mixed.int.zero	bool.false	bool.true				supported	deterministic_value	bool_t	bool.true	true	ternary.mixed_t.mixed.int.zero.then.bool.false.else.bool.true	runtime_success		Ternary uses the allowed mixed runtime kind truthiness and then selects the matching branch.
mixed.int.zero	bool.true	bool.false				supported	deterministic_value	bool_t	bool.false	true	ternary.mixed_t.mixed.int.zero.then.bool.true.else.bool.false	runtime_success		Ternary uses the allowed mixed runtime kind truthiness and then selects the matching branch.
