lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	float.zero	float.zero				supported	deterministic_value	float_t	float.zero	true	ternary.mixed_t.mixed.null.then.float.zero.else.float.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.null	float.zero	float.nonzero				supported	deterministic_value	float_t	float.nonzero	true	ternary.mixed_t.mixed.null.then.float.zero.else.float.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.null	float.nonzero	float.zero				supported	deterministic_value	float_t	float.zero	true	ternary.mixed_t.mixed.null.then.float.nonzero.else.float.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.null	float.nonzero	float.nonzero				supported	deterministic_value	float_t	float.nonzero	true	ternary.mixed_t.mixed.null.then.float.nonzero.else.float.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.bool.false	float.zero	float.zero				supported	deterministic_value	float_t	float.zero	true	ternary.mixed_t.mixed.bool.false.then.float.zero.else.float.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.bool.false	float.zero	float.nonzero				supported	deterministic_value	float_t	float.nonzero	true	ternary.mixed_t.mixed.bool.false.then.float.zero.else.float.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.bool.false	float.nonzero	float.zero				supported	deterministic_value	float_t	float.zero	true	ternary.mixed_t.mixed.bool.false.then.float.nonzero.else.float.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.bool.false	float.nonzero	float.nonzero				supported	deterministic_value	float_t	float.nonzero	true	ternary.mixed_t.mixed.bool.false.then.float.nonzero.else.float.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.bool.true	float.zero	float.zero				supported	deterministic_value	float_t	float.zero	true	ternary.mixed_t.mixed.bool.true.then.float.zero.else.float.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
mixed.bool.true	float.zero	float.nonzero				supported	deterministic_value	float_t	float.zero	true	ternary.mixed_t.mixed.bool.true.then.float.zero.else.float.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
mixed.bool.true	float.nonzero	float.zero				supported	deterministic_value	float_t	float.nonzero	true	ternary.mixed_t.mixed.bool.true.then.float.nonzero.else.float.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
mixed.bool.true	float.nonzero	float.nonzero				supported	deterministic_value	float_t	float.nonzero	true	ternary.mixed_t.mixed.bool.true.then.float.nonzero.else.float.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
mixed.int.zero	float.zero	float.zero				supported	deterministic_value	float_t	float.zero	true	ternary.mixed_t.mixed.int.zero.then.float.zero.else.float.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.int.zero	float.zero	float.nonzero				supported	deterministic_value	float_t	float.nonzero	true	ternary.mixed_t.mixed.int.zero.then.float.zero.else.float.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.int.zero	float.nonzero	float.zero				supported	deterministic_value	float_t	float.zero	true	ternary.mixed_t.mixed.int.zero.then.float.nonzero.else.float.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.int.zero	float.nonzero	float.nonzero				supported	deterministic_value	float_t	float.nonzero	true	ternary.mixed_t.mixed.int.zero.then.float.nonzero.else.float.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.int.nonzero	float.zero	float.zero				supported	deterministic_value	float_t	float.zero	true	ternary.mixed_t.mixed.int.nonzero.then.float.zero.else.float.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
mixed.int.nonzero	float.zero	float.nonzero				supported	deterministic_value	float_t	float.zero	true	ternary.mixed_t.mixed.int.nonzero.then.float.zero.else.float.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
mixed.int.nonzero	float.nonzero	float.zero				supported	deterministic_value	float_t	float.nonzero	true	ternary.mixed_t.mixed.int.nonzero.then.float.nonzero.else.float.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
mixed.int.nonzero	float.nonzero	float.nonzero				supported	deterministic_value	float_t	float.nonzero	true	ternary.mixed_t.mixed.int.nonzero.then.float.nonzero.else.float.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
mixed.float.zero	float.zero	float.zero				supported	deterministic_value	float_t	float.zero	true	ternary.mixed_t.mixed.float.zero.then.float.zero.else.float.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.float.zero	float.zero	float.nonzero				supported	deterministic_value	float_t	float.nonzero	true	ternary.mixed_t.mixed.float.zero.then.float.zero.else.float.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.float.zero	float.nonzero	float.zero				supported	deterministic_value	float_t	float.zero	true	ternary.mixed_t.mixed.float.zero.then.float.nonzero.else.float.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.float.zero	float.nonzero	float.nonzero				supported	deterministic_value	float_t	float.nonzero	true	ternary.mixed_t.mixed.float.zero.then.float.nonzero.else.float.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.float.nonzero	float.zero	float.zero				supported	deterministic_value	float_t	float.zero	true	ternary.mixed_t.mixed.float.nonzero.then.float.zero.else.float.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
mixed.float.nonzero	float.zero	float.nonzero				supported	deterministic_value	float_t	float.zero	true	ternary.mixed_t.mixed.float.nonzero.then.float.zero.else.float.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
mixed.float.nonzero	float.nonzero	float.zero				supported	deterministic_value	float_t	float.nonzero	true	ternary.mixed_t.mixed.float.nonzero.then.float.nonzero.else.float.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
mixed.float.nonzero	float.nonzero	float.nonzero				supported	deterministic_value	float_t	float.nonzero	true	ternary.mixed_t.mixed.float.nonzero.then.float.nonzero.else.float.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
mixed.string.empty	float.zero	float.zero				supported	deterministic_value	float_t	float.zero	true	ternary.mixed_t.mixed.string.empty.then.float.zero.else.float.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
