lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null	int.zero	int.zero				supported	deterministic_value	int_t	int.zero	true	ternary.mixed_t.mixed.null.then.int.zero.else.int.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.null	int.zero	int.nonzero				supported	deterministic_value	int_t	int.nonzero	true	ternary.mixed_t.mixed.null.then.int.zero.else.int.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.null	int.nonzero	int.zero				supported	deterministic_value	int_t	int.zero	true	ternary.mixed_t.mixed.null.then.int.nonzero.else.int.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.null	int.nonzero	int.nonzero				supported	deterministic_value	int_t	int.nonzero	true	ternary.mixed_t.mixed.null.then.int.nonzero.else.int.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.bool.false	int.zero	int.zero				supported	deterministic_value	int_t	int.zero	true	ternary.mixed_t.mixed.bool.false.then.int.zero.else.int.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.bool.false	int.zero	int.nonzero				supported	deterministic_value	int_t	int.nonzero	true	ternary.mixed_t.mixed.bool.false.then.int.zero.else.int.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.bool.false	int.nonzero	int.zero				supported	deterministic_value	int_t	int.zero	true	ternary.mixed_t.mixed.bool.false.then.int.nonzero.else.int.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.bool.false	int.nonzero	int.nonzero				supported	deterministic_value	int_t	int.nonzero	true	ternary.mixed_t.mixed.bool.false.then.int.nonzero.else.int.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the else branch for falsey mixed profiles.
mixed.bool.true	int.zero	int.zero				supported	deterministic_value	int_t	int.zero	true	ternary.mixed_t.mixed.bool.true.then.int.zero.else.int.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
mixed.bool.true	int.zero	int.nonzero				supported	deterministic_value	int_t	int.zero	true	ternary.mixed_t.mixed.bool.true.then.int.zero.else.int.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
mixed.bool.true	int.nonzero	int.zero				supported	deterministic_value	int_t	int.nonzero	true	ternary.mixed_t.mixed.bool.true.then.int.nonzero.else.int.zero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
mixed.bool.true	int.nonzero	int.nonzero				supported	deterministic_value	int_t	int.nonzero	true	ternary.mixed_t.mixed.bool.true.then.int.nonzero.else.int.nonzero	runtime_success		Ternary condition delegates to mixed truthiness and selects the then branch for truthy mixed profiles.
