lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result.failure	result.failure					supported	deterministic_value	bool_t	bool.true	true	identical.result_failure.result_failure	runtime_success		Result strict identity compares error state to error state and otherwise compares visible payloads strictly.
result.failure	result.success.string.empty					supported	deterministic_value	bool_t	bool.false	true	identical.result_failure.result_success_string_empty	runtime_success		Result strict identity compares error state to error state and otherwise compares visible payloads strictly.
result.failure	result.success.string.zero_string					supported	deterministic_value	bool_t	bool.false	true	identical.result_failure.result_success_string_zero_string	runtime_success		Result strict identity compares error state to error state and otherwise compares visible payloads strictly.
result.failure	result.success.string.bool_false_literal					supported	deterministic_value	bool_t	bool.false	true	identical.result_failure.result_success_string_bool_false_literal	runtime_success		Result strict identity compares error state to error state and otherwise compares visible payloads strictly.
result.failure	result.success.string.bool_true_literal					supported	deterministic_value	bool_t	bool.false	true	identical.result_failure.result_success_string_bool_true_literal	runtime_success		Result strict identity compares error state to error state and otherwise compares visible payloads strictly.
result.failure	result.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.false	true	identical.result_failure.result_success_string_nonempty_nonzero_nonbool_literal	runtime_success		Result strict identity compares error state to error state and otherwise compares visible payloads strictly.
result.success.string.empty	result.failure					supported	deterministic_value	bool_t	bool.false	true	identical.result_success_string_empty.result_failure	runtime_success		Result strict identity compares error state to error state and otherwise compares visible payloads strictly.
result.success.string.empty	result.success.string.empty					supported	deterministic_value	bool_t	bool.true	true	identical.result_success_string_empty.result_success_string_empty	runtime_success		Result strict identity compares error state to error state and otherwise compares visible payloads strictly.
result.success.string.empty	result.success.string.zero_string					supported	deterministic_value	bool_t	bool.false	true	identical.result_success_string_empty.result_success_string_zero_string	runtime_success		Result strict identity compares error state to error state and otherwise compares visible payloads strictly.
result.success.string.empty	result.success.string.bool_false_literal					supported	deterministic_value	bool_t	bool.false	true	identical.result_success_string_empty.result_success_string_bool_false_literal	runtime_success		Result strict identity compares error state to error state and otherwise compares visible payloads strictly.
result.success.string.empty	result.success.string.bool_true_literal					supported	deterministic_value	bool_t	bool.false	true	identical.result_success_string_empty.result_success_string_bool_true_literal	runtime_success		Result strict identity compares error state to error state and otherwise compares visible payloads strictly.
result.success.string.empty	result.success.string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.false	true	identical.result_success_string_empty.result_success_string_nonempty_nonzero_nonbool_literal	runtime_success		Result strict identity compares error state to error state and otherwise compares visible payloads strictly.
result.success.string.zero_string	result.failure					supported	deterministic_value	bool_t	bool.false	true	identical.result_success_string_zero_string.result_failure	runtime_success		Result strict identity compares error state to error state and otherwise compares visible payloads strictly.
result.success.string.zero_string	result.success.string.empty					supported	deterministic_value	bool_t	bool.false	true	identical.result_success_string_zero_string.result_success_string_empty	runtime_success		Result strict identity compares error state to error state and otherwise compares visible payloads strictly.
