lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
string.empty	string.empty					supported	deterministic_value	bool_t	bool.false	true	not_identical.string_empty.string_empty	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.empty	string.zero_string					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_empty.string_zero_string	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.empty	string.bool_false_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_empty.string_bool_false_literal	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.empty	string.bool_true_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_empty.string_bool_true_literal	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.empty	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_empty.string_nonempty_nonzero_nonbool_literal	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.zero_string	string.empty					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_zero_string.string_empty	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.zero_string	string.zero_string					supported	deterministic_value	bool_t	bool.false	true	not_identical.string_zero_string.string_zero_string	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.zero_string	string.bool_false_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_zero_string.string_bool_false_literal	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.zero_string	string.bool_true_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_zero_string.string_bool_true_literal	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.zero_string	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_zero_string.string_nonempty_nonzero_nonbool_literal	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.bool_false_literal	string.empty					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_bool_false_literal.string_empty	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.bool_false_literal	string.zero_string					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_bool_false_literal.string_zero_string	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.bool_false_literal	string.bool_false_literal					supported	deterministic_value	bool_t	bool.false	true	not_identical.string_bool_false_literal.string_bool_false_literal	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.bool_false_literal	string.bool_true_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_bool_false_literal.string_bool_true_literal	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.bool_false_literal	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_bool_false_literal.string_nonempty_nonzero_nonbool_literal	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.bool_true_literal	string.empty					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_bool_true_literal.string_empty	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.bool_true_literal	string.zero_string					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_bool_true_literal.string_zero_string	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.bool_true_literal	string.bool_false_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_bool_true_literal.string_bool_false_literal	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.bool_true_literal	string.bool_true_literal					supported	deterministic_value	bool_t	bool.false	true	not_identical.string_bool_true_literal.string_bool_true_literal	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.bool_true_literal	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_bool_true_literal.string_nonempty_nonzero_nonbool_literal	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.nonempty_nonzero_nonbool_literal	string.empty					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_nonempty_nonzero_nonbool_literal.string_empty	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.nonempty_nonzero_nonbool_literal	string.zero_string					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_nonempty_nonzero_nonbool_literal.string_zero_string	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.nonempty_nonzero_nonbool_literal	string.bool_false_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_nonempty_nonzero_nonbool_literal.string_bool_false_literal	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.nonempty_nonzero_nonbool_literal	string.bool_true_literal					supported	deterministic_value	bool_t	bool.true	true	not_identical.string_nonempty_nonzero_nonbool_literal.string_bool_true_literal	runtime_success		Strict identity requires exact matching PHP-visible value and type.
string.nonempty_nonzero_nonbool_literal	string.nonempty_nonzero_nonbool_literal					supported	deterministic_value	bool_t	bool.false	true	not_identical.string_nonempty_nonzero_nonbool_literal.string_nonempty_nonzero_nonbool_literal	runtime_success		Strict identity requires exact matching PHP-visible value and type.
