lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null						supported	throws	mixed_t	mixed.null	true	bitwise_not.mixed.null	runtime_throw		Mixed null is not a valid operand for bitwise not.
mixed.bool.false						supported	throws	mixed_t	mixed.bool.false	true	bitwise_not.mixed.bool.false	runtime_throw		Mixed bool false is not a valid operand for bitwise not.
mixed.bool.true						supported	throws	mixed_t	mixed.bool.true	true	bitwise_not.mixed.bool.true	runtime_throw		Mixed bool true is not a valid operand for bitwise not.
mixed.int.zero						supported	deterministic_value	mixed_t	mixed.int.neg_one	true	bitwise_not.mixed.int.zero	runtime_success		Mixed int zero follows native integer bitwise-not semantics.
mixed.int.nonzero						supported	deterministic_value	mixed_t	mixed.int.neg_eight	true	bitwise_not.mixed.int.nonzero	runtime_success		Mixed int non-zero follows native integer bitwise-not semantics.
mixed.float.zero						supported	throws	mixed_t	mixed.float.zero	true	bitwise_not.mixed.float.zero	runtime_throw		Mixed float is not a valid operand for bitwise not.
mixed.float.nonzero						supported	throws	mixed_t	mixed.float.nonzero	true	bitwise_not.mixed.float.nonzero	runtime_throw		Mixed float is not a valid operand for bitwise not.
mixed.string.empty						supported	throws	mixed_t	mixed.string.empty	true	bitwise_not.mixed.string.empty	runtime_throw		Mixed empty string is not a valid operand for bitwise not.
mixed.string.zero_string						supported	throws	mixed_t	mixed.string.zero_string	true	bitwise_not.mixed.string.zero_string	runtime_throw		Mixed string 0 is not a valid operand for bitwise not.
mixed.string.bool_false_literal						supported	throws	mixed_t	mixed.string.bool_false_literal	true	bitwise_not.mixed.string.bool_false_literal	runtime_throw		Mixed string bool literal is not a valid operand for bitwise not.
mixed.string.bool_true_literal						supported	throws	mixed_t	mixed.string.bool_true_literal	true	bitwise_not.mixed.string.bool_true_literal	runtime_throw		Mixed string bool literal is not a valid operand for bitwise not.
mixed.string.nonempty_nonzero_nonbool_literal						supported	throws	mixed_t	mixed.string.nonempty_nonzero_nonbool_literal	true	bitwise_not.mixed.string.other	runtime_throw		Mixed non-numeric string is not a valid operand for bitwise not.
mixed.hash.empty						supported	throws	mixed_t	mixed.hash.empty	true	bitwise_not.mixed.hash.empty	runtime_throw		Mixed hash is not a valid operand for bitwise not.
mixed.hash.nonempty						supported	throws	mixed_t	mixed.hash.nonempty	true	bitwise_not.mixed.hash.nonempty	runtime_throw		Mixed hash is not a valid operand for bitwise not.
