lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null			assignable_variable			supported	throws	mixed_t	mixed.null	true	post_increment.mixed.null.assignable	runtime_throw		Mixed null cannot be postfix-incremented.
mixed.bool.false			assignable_variable			supported	throws	mixed_t	mixed.bool.false	true	post_increment.mixed.bool.false.assignable	runtime_throw		Mixed bool false cannot be postfix-incremented.
mixed.bool.true			assignable_variable			supported	throws	mixed_t	mixed.bool.true	true	post_increment.mixed.bool.true.assignable	runtime_throw		Mixed bool true cannot be postfix-incremented.
mixed.int.zero			assignable_variable			supported	deterministic_value	mixed_t	mixed.int.zero	true	post_increment.mixed.int.zero.assignable	runtime_success		Postfix increment returns the original mixed int value.
mixed.int.nonzero			assignable_variable			supported	deterministic_value	mixed_t	mixed.int.nonzero	true	post_increment.mixed.int.nonzero.assignable	runtime_success		Postfix increment returns the original mixed int value.
mixed.float.zero			assignable_variable			supported	deterministic_value	mixed_t	mixed.float.zero	true	post_increment.mixed.float.zero.assignable	runtime_success		Postfix increment returns the original mixed float value.
mixed.float.nonzero			assignable_variable			supported	deterministic_value	mixed_t	mixed.float.nonzero	true	post_increment.mixed.float.nonzero.assignable	runtime_success		Postfix increment returns the original mixed float value.
mixed.string.empty			assignable_variable			supported	throws	mixed_t	mixed.string.empty	true	post_increment.mixed.string.empty.assignable	runtime_throw		Mixed strings cannot be postfix-incremented in the current runtime.
mixed.string.zero_string			assignable_variable			supported	throws	mixed_t	mixed.string.zero_string	true	post_increment.mixed.string.zero_string.assignable	runtime_throw		Mixed strings cannot be postfix-incremented in the current runtime.
mixed.string.bool_false_literal			assignable_variable			supported	throws	mixed_t	mixed.string.bool_false_literal	true	post_increment.mixed.string.bool_false_literal.assignable	runtime_throw		Mixed strings cannot be postfix-incremented in the current runtime.
mixed.string.bool_true_literal			assignable_variable			supported	throws	mixed_t	mixed.string.bool_true_literal	true	post_increment.mixed.string.bool_true_literal.assignable	runtime_throw		Mixed strings cannot be postfix-incremented in the current runtime.
mixed.string.nonempty_nonzero_nonbool_literal			assignable_variable			supported	throws	mixed_t	mixed.string.nonempty_nonzero_nonbool_literal	true	post_increment.mixed.string.other.assignable	runtime_throw		Mixed strings cannot be postfix-incremented in the current runtime.
mixed.hash.empty			assignable_variable			supported	throws	mixed_t	mixed.hash.empty	true	post_increment.mixed.hash.empty.assignable	runtime_throw		Mixed hashes cannot be postfix-incremented.
mixed.hash.nonempty			assignable_variable			supported	throws	mixed_t	mixed.hash.nonempty	true	post_increment.mixed.hash.nonempty.assignable	runtime_throw		Mixed hashes cannot be postfix-incremented.
