lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null			assignable_variable			supported	throws	mixed_t	mixed.null	true	pre_decrement.mixed.null.assignable	runtime_throw		Mixed null cannot be prefix-decremented.
mixed.bool.false			assignable_variable			supported	throws	mixed_t	mixed.bool.false	true	pre_decrement.mixed.bool.false.assignable	runtime_throw		Mixed bool false cannot be prefix-decremented.
mixed.bool.true			assignable_variable			supported	throws	mixed_t	mixed.bool.true	true	pre_decrement.mixed.bool.true.assignable	runtime_throw		Mixed bool true cannot be prefix-decremented.
mixed.int.zero			assignable_variable			supported	deterministic_value	mixed_t	mixed.int.neg_one	true	pre_decrement.mixed.int.zero.assignable	runtime_success		Mixed int zero decrements in place and returns the new value.
mixed.int.nonzero			assignable_variable			supported	deterministic_value	mixed_t	mixed.int.six	true	pre_decrement.mixed.int.nonzero.assignable	runtime_success		Mixed int non-zero decrements in place and returns the new value.
mixed.float.zero			assignable_variable			supported	deterministic_value	mixed_t	mixed.float.neg_one	true	pre_decrement.mixed.float.zero.assignable	runtime_success		Mixed float zero decrements in place and returns the new value.
mixed.float.nonzero			assignable_variable			supported	deterministic_value	mixed_t	mixed.float.two_point_five	true	pre_decrement.mixed.float.nonzero.assignable	runtime_success		Mixed float non-zero decrements in place and returns the new value.
mixed.string.empty			assignable_variable			supported	throws	mixed_t	mixed.string.empty	true	pre_decrement.mixed.string.empty.assignable	runtime_throw		Mixed strings cannot be prefix-decremented in the current runtime.
mixed.string.zero_string			assignable_variable			supported	throws	mixed_t	mixed.string.zero_string	true	pre_decrement.mixed.string.zero_string.assignable	runtime_throw		Mixed strings cannot be prefix-decremented in the current runtime.
mixed.string.bool_false_literal			assignable_variable			supported	throws	mixed_t	mixed.string.bool_false_literal	true	pre_decrement.mixed.string.bool_false_literal.assignable	runtime_throw		Mixed strings cannot be prefix-decremented in the current runtime.
mixed.string.bool_true_literal			assignable_variable			supported	throws	mixed_t	mixed.string.bool_true_literal	true	pre_decrement.mixed.string.bool_true_literal.assignable	runtime_throw		Mixed strings cannot be prefix-decremented in the current runtime.
mixed.string.nonempty_nonzero_nonbool_literal			assignable_variable			supported	throws	mixed_t	mixed.string.nonempty_nonzero_nonbool_literal	true	pre_decrement.mixed.string.other.assignable	runtime_throw		Mixed strings cannot be prefix-decremented in the current runtime.
mixed.hash.empty			assignable_variable			supported	throws	mixed_t	mixed.hash.empty	true	pre_decrement.mixed.hash.empty.assignable	runtime_throw		Mixed hashes cannot be prefix-decremented.
mixed.hash.nonempty			assignable_variable			supported	throws	mixed_t	mixed.hash.nonempty	true	pre_decrement.mixed.hash.nonempty.assignable	runtime_throw		Mixed hashes cannot be prefix-decremented.
