lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
mixed.null			assignable_variable			supported	throws	mixed_t	mixed.null	true	pre_increment.mixed.null.assignable	runtime_throw		Mixed null cannot be prefix-incremented.
mixed.bool.false			assignable_variable			supported	throws	mixed_t	mixed.bool.false	true	pre_increment.mixed.bool.false.assignable	runtime_throw		Mixed bool false cannot be prefix-incremented.
mixed.bool.true			assignable_variable			supported	throws	mixed_t	mixed.bool.true	true	pre_increment.mixed.bool.true.assignable	runtime_throw		Mixed bool true cannot be prefix-incremented.
mixed.int.zero			assignable_variable			supported	deterministic_value	mixed_t	mixed.int.one	true	pre_increment.mixed.int.zero.assignable	runtime_success		Mixed int zero increments in place and returns the new value.
mixed.int.nonzero			assignable_variable			supported	deterministic_value	mixed_t	mixed.int.eight	true	pre_increment.mixed.int.nonzero.assignable	runtime_success		Mixed int non-zero increments in place and returns the new value.
mixed.float.zero			assignable_variable			supported	deterministic_value	mixed_t	mixed.float.one	true	pre_increment.mixed.float.zero.assignable	runtime_success		Mixed float zero increments in place and returns the new value.
mixed.float.nonzero			assignable_variable			supported	deterministic_value	mixed_t	mixed.float.four_point_five	true	pre_increment.mixed.float.nonzero.assignable	runtime_success		Mixed float non-zero increments in place and returns the new value.
mixed.string.empty			assignable_variable			supported	throws	mixed_t	mixed.string.empty	true	pre_increment.mixed.string.empty.assignable	runtime_throw		Mixed strings cannot be prefix-incremented in the current runtime.
mixed.string.zero_string			assignable_variable			supported	throws	mixed_t	mixed.string.zero_string	true	pre_increment.mixed.string.zero_string.assignable	runtime_throw		Mixed strings cannot be prefix-incremented in the current runtime.
mixed.string.bool_false_literal			assignable_variable			supported	throws	mixed_t	mixed.string.bool_false_literal	true	pre_increment.mixed.string.bool_false_literal.assignable	runtime_throw		Mixed strings cannot be prefix-incremented in the current runtime.
mixed.string.bool_true_literal			assignable_variable			supported	throws	mixed_t	mixed.string.bool_true_literal	true	pre_increment.mixed.string.bool_true_literal.assignable	runtime_throw		Mixed strings cannot be prefix-incremented in the current runtime.
mixed.string.nonempty_nonzero_nonbool_literal			assignable_variable			supported	throws	mixed_t	mixed.string.nonempty_nonzero_nonbool_literal	true	pre_increment.mixed.string.other.assignable	runtime_throw		Mixed strings cannot be prefix-incremented in the current runtime.
mixed.hash.empty			assignable_variable			supported	throws	mixed_t	mixed.hash.empty	true	pre_increment.mixed.hash.empty.assignable	runtime_throw		Mixed hashes cannot be prefix-incremented.
mixed.hash.nonempty			assignable_variable			supported	throws	mixed_t	mixed.hash.nonempty	true	pre_increment.mixed.hash.nonempty.assignable	runtime_throw		Mixed hashes cannot be prefix-incremented.
