unused: dependencies verified, native exit 1
repeated: dependencies verified, native exit 1
local_forward: dependencies verified, native exit 1
function_body: dependencies verified, native exit 1
value_initializer: dependencies verified, native exit 3
return_chain: dependencies verified, native exit 7
multiple_arguments: dependencies verified, native exit 7
nested_arguments: dependencies verified, native exit 8
parameter_forwarding: dependencies verified, native exit 6
void_parameters: dependencies verified, native exit 5
reference_mutation: dependencies verified, native exit 7
value_isolation: dependencies verified, native exit 1
reference_forwarding: dependencies verified, native exit 8
reference_aliasing: dependencies verified, native exit 9
mixed_evaluation: dependencies verified, native exit 1
array_reference: dependencies verified, native exit 9
array_value_argument: dependencies verified, native exit 8
struct_fields: dependencies verified, native exit 4
struct_default: dependencies verified, native exit 0
struct_reference: dependencies verified, native exit 9
struct_value_argument: dependencies verified, native exit 6
struct_local_isolation: dependencies verified, native exit 3
struct_and_array: dependencies verified, native exit 7
template_reuse: dependencies verified, native exit 3
template_forward: dependencies verified, native exit 8
template_multi: dependencies verified, native exit 7
template_unused: dependencies verified, native exit 1
template_recursive_registration: dependencies verified, native exit 1
